File	Mentions
GEM_1929_27	Albert Verwey
GEM_1929_27	Dirk Coster
GEM_1929_27	Antoon Coolen
GEM_1929_27	Ina Boudier-Bakker
GEM_1929_27	Herman de Man
GEM_1929_27	Mathias Kemp
GEM_1929_27	Albert Kuyle
GEM_1929_27	Novalis
GEM_1929_27	Anton van Duinkerken
GEM_1929_27	Albe
GEM_1929_27	Stijn Streuvels
GEM_1929_28	Henri Bruning
GEM_1929_28	Willem Nieuwenhuis
GEM_1929_28	Herluf van Merlet
GEM_1929_28	Albe
GEM_1929_28	A.M. de Jong
GEM_1929_28	Mien Proost
GEM_1929_28	Jan Engelman
GEM_1929_29	Willem Nieuwenhuis
GEM_1929_29	Pieter van der Meer
GEM_1929_29	Pieter van der Meer de Walcheren
GEM_1929_29	Bernard Shaw
GEM_1929_29	Jan Engelman
GEM_1929_30	Anton van Duinkerken
GEM_1929_30	Blaise Cendrars
GEM_1929_30	Albe
GEM_1929_30	Albert Helman
GEM_1929_31	H. Marsman
GEM_1929_31	Blaise Cendrars
GEM_1929_33	Anton van Duinkerken
GEM_1929_34	Willem Nieuwenhuis
GEM_1929_34	Albert Helman
GEM_1929_34	Albert Kuyle
GEM_1929_34	Albe
GEM_1929_34	Blaise Cendrars
GEM_1929_34	Charles Eyck
GEM_1929_35	Anton van Duinkerken
GEM_1929_35	Gerard Brom
GEM_1929_37	H. Marsman
GEM_1929_37	Charley Toorop
GEM_1929_38	Theun de Vries
GEM_1929_39	J.C. van Schagen
GEM_1929_40	Anton van Duinkerken
GEM_1929_41	Pieter van der Meer de Walcheren
GEM_1929_41	Willem Nieuwenhuis
GEM_1929_41	Léon
GEM_1929_41	Pieter van der Meer
GEM_1929_44	H. van Loon
GEM_1929_46	Melati van Java
GEM_1929_47	Sybold van Ravesteyn
GEM_1929_47	Charley Toorop
GEM_1929_47	Joep Nicolas
GEM_1929_47	Jan Engelman
GEM_1929_49	Theun de Vries
GEM_1929_50	Novalis
GEM_1929_51	Willem ten Berge
GEM_1929_52	Gerard Wijdeveld
GEM_1929_54	Pierre Kemp
GEM_1929_56	Henri Bruning
GEM_1929_56	Willem Nieuwenhuis
GEM_1929_56	Gerard Bruning
GEM_1929_56	Marnix Gijsen
GEM_1929_57	Leopold
GEM_1929_57	Mathias Kemp
GEM_1929_58	J.C. van Schagen
GEM_1929_58	Just Havelaar
GEM_1929_58	Willem Kloos
GEM_1929_62	J.C. Bloem
GEM_1929_63	Anton van Duinkerken
GEM_1929_63	Plato
GEM_1929_64	Anton van Duinkerken
GEM_1929_66	Albe
GEM_1929_66	Gerard Brom
GEM_1929_67	Jan H. Eekhout
GEM_1929_68	Huub van der Grinten
GEM_1929_71	Kees Meekel
GEM_1929_72	F.J.H. Lousberg
GEM_1929_74	Mien Proost
GEM_1929_74	Henri Borel
GEM_1929_75	Ellen Russe
GEM_1929_75	Antoon Coolen
GEM_1929_75	Anton van Duinkerken
GEM_1929_76	Novalis
GEM_1929_76	Anton van Duinkerken
GEM_1929_77	Hans van Zijl
GEM_1929_78	Hendrik Andriessen
GEM_1929_79	Gerard Wijdeveld
GEM_1929_80	Theun de Vries
GEM_1929_81	Albert Kuyle
GEM_1929_81	Karel van de Woestijne
GEM_1929_81	Albe
GEM_1929_83	Mien Proost
GEM_1929_84	Mien Proost
GEM_1929_85	Jan H. Eekhout
GEM_1929_86	K.F. Proost
GEM_1929_86	Anton van Duinkerken
GEM_1929_87	Wies Moens
GEM_1929_87	Karel van de Woestijne
GEM_1929_87	Prosper van Langendonck
GEM_1929_88	Ellen Russe
GEM_1929_88	Mien Proost
GEM_1929_89	Mien Proost
GEM_1929_91	D.A.M. Binnendijk
GEM_1929_92	Anton van Duinkerken
GEM_1929_92	Constantijn
GEM_1929_92	Albe
GEM_1929_92	Constantijn Huygens
GEM_1929_93	Anton van Duinkerken
GEM_1929_95	A. Viruly
GEM_1929_96	Theun de Vries
GEM_1929_97	Achilles Mussche
GEM_1929_97	Wies Moens
GEM_1929_97	Pieter G. Buckinx
GEM_1929_97	Jan Vercammen
GEM_1929_97	Urbain van de Voorde
GEM_1929_97	André Demedts
GEM_1929_97	Paul Rogghé
GEM_1929_99	H. Marsman
GEM_1929_99	Pieter van der Meer
GEM_1929_99	Pieter van der Meer de Walcheren
GEM_1929_99	Willem Nieuwenhuis
GEM_1929_99	Eduard Verkade
GEM_1929_99	Henk Kuitenbrouwer
GEM_1929_99	Jan Bruna
GEM_1929_99	Gerard Bruning
GEM_1929_99	Jozef Cantré
GEM_1929_99	Marnix Gijsen
GEM_1929_99	Wies Moens
GEM_1929_99	Joep Nicolas
GEM_1929_99	Albert Kuyle
GEM_1929_99	Bernard Verhoeven
GEM_1929_99	Albe
GEM_1929_99	Karel van den Oever
GEM_1929_99	Willem Maas
GEM_1929_100	Jan Engelman
GEM_1929_102	A. den Doolaard
GEM_1929_102	Willem Kloos
GEM_1929_102	Albert Helman
GEM_1929_102	Gerard Bruning
GEM_1929_102	Albert Kuyle
GEM_1929_102	Anton van Duinkerken
GEM_1929_102	Albe
GEM_1929_102	Karel van den Oever
GEM_1929_102	Mien Proost
GEM_1929_103	H. Marsman
GEM_1929_105	Henricus
GEM_1929_105	Albert Kuyle
GEM_1929_105	Albe
GEM_1929_106	Albe
GEM_1929_106	Albert Helman
GEM_1929_108	Mien Proost
GEM_1929_109	Albe
GEM_1929_110	Halbo C. Kool
GEM_1929_111	H. Marsman
GEM_1929_111	Albe
GEM_1929_111	Albert Helman
GEM_1929_113	Anton van Duinkerken
GEM_1929_114	Halbo C. Kool
GEM_1929_115	Albert Verwey
GEM_1929_115	Anna Bijns
GEM_1929_115	Guido Gezelle
GEM_1929_115	J.F.M. Sterck
GEM_1929_115	Leopold
GEM_1929_115	Anton van Duinkerken
GEM_1929_115	Albe
GEM_1929_115	François Villon
GEM_1929_116	Frans Erens
GEM_1929_116	Wouter Lutkie
GEM_1929_116	Gerard Bruning
GEM_1929_116	Albert Kuyle
GEM_1929_116	Anton van Duinkerken
GEM_1929_116	Albe
GEM_1929_116	Sigrid Undset
GEM_1929_116	Mien Proost
GEM_1929_117	Huib Luns
GEM_1929_117	Antoon Coolen
GEM_1929_117	Anton van Duinkerken
GEM_1929_117	Herman de Man
GEM_1930_2	Albe
GEM_1930_2	Albert Helman
GEM_1930_3	Gerard Wijdeveld
GEM_1930_3	Bernard Verhoeven
GEM_1930_4	Michiel de Swaen
GEM_1930_4	Hieronymus van Alphen
GEM_1930_4	Anton van Duinkerken
GEM_1930_6	Emile Erens
GEM_1930_7	Anna Bijns
GEM_1930_7	Herman Heijermans
GEM_1930_7	Louis Knuvelder
GEM_1930_7	A.M. de Jong
GEM_1930_8	Willem Nieuwenhuis
GEM_1930_8	Dirk Coster
GEM_1930_8	Henk Kuitenbrouwer
GEM_1930_8	Novalis
GEM_1930_8	Anton van Duinkerken
GEM_1930_10	Emile Erens
GEM_1930_11	Gerard Wijdeveld
GEM_1930_12	Albe
GEM_1930_12	Albert Helman
GEM_1930_16	Gabriël Smit
GEM_1930_17	Willem Nieuwenhuis
GEM_1930_17	Albert Verwey
GEM_1930_17	Dirk Coster
GEM_1930_17	Willem Kloos
GEM_1930_17	Wouter Lutkie
GEM_1930_17	P. Geyl
GEM_1930_17	Stefan George
GEM_1930_17	Guido Gezelle
GEM_1930_17	Rie Cramer
GEM_1930_17	L. Stolte
GEM_1930_17	Anton van Duinkerken
GEM_1930_17	Albe
GEM_1930_17	P.N. van Eyck
GEM_1930_17	Louis Knuvelder
GEM_1930_18	Albe
GEM_1930_19	Jan Engelman
GEM_1930_20	Allard Pierson
GEM_1930_20	Nicolaas Beets
GEM_1930_20	Martinus des Amorie van der Hoeven
GEM_1930_20	Anton van Duinkerken
GEM_1930_20	Abraham Kuyper
GEM_1930_21	Albe
GEM_1930_21	Albert Helman
GEM_1930_23	Emile Erens
GEM_1930_24	J.J. van Geuns
GEM_1930_24	J. van Geuns
GEM_1930_25	Gerard Wijdeveld
GEM_1930_26	Albe
GEM_1930_26	Albert Helman
GEM_1930_29	Gerard Wijdeveld
GEM_1930_30	Ernest Michel
GEM_1930_30	Léon
GEM_1930_30	Gerard Bruning
GEM_1930_31	Gerard Wijdeveld
GEM_1930_32	David van Hoogstraten
GEM_1930_32	Anton van Duinkerken
GEM_1930_33	Gerard Wijdeveld
GEM_1930_34	Joris Iven
GEM_1930_34	Gerard Wijdeveld
GEM_1930_34	Joris Ivens
GEM_1930_35	Willem Nieuwenhuis
GEM_1930_35	Gerard Bruning
GEM_1930_35	Albe
GEM_1930_37	Joep Nicolas
GEM_1930_39	Jan Toorop
GEM_1930_39	Wouter Lutkie
GEM_1930_39	Jan van Gelder
GEM_1930_39	A.C. Willink
GEM_1930_39	Johan de Meester
GEM_1930_39	Joep Nicolas
