Author	POD
B.J. Stokvis	
Jacob Gijsbert de Hoop Scheffer	Amsterdam
M.H. Jansen	Den Haag
D. Huizinga	Groningen
Bernard Dominicus Hubertus Tellegen	Groningen
Hendrik Adriaan Antonius van Berckel	Rotterdam
Julius de Geyter	Antwerpen
H.W. Schroeder van der Kolk	
H. Neubronner van der Tuuk	Soerabaja
J.C. de Vries	
B.H.C.K. van der Wijck	
Jan Willem Straatman	
H.T. Karsten	
Jeronimo de Vries	Haarlem
H.F.R. Hubrecht	
W.F.R. Suringar	Leiden
A.J.A. Gerlach	Wiesbaden
A.W.M. van Hasselt	
A.E. Croockewit	Den Haag
Jb. Boeke	
A. Quak	
H. van der Hoeven	
Cornelis Marinus Francken	Utrecht
Meinardus Siderius Pols	Utrecht
M.T.H. Perelaer	Den Haag
R.P. Mees Azn.	Rotterdam
G.H.J. Elliot Boswel	Voorburg
W.C.D. Olivier	
Henricus Oort	
Joanan Rutgers	
Charles Boissevain	Naarden
M.W.C. Gori	Hilversum
Willem Johannes Franciscus Nuyens	Westwoud
Johan Gram	Den Haag
Hendrik Hooyer	Arnhem
D.J. Mom Visch	
Michaël Wilhelm Scheltema	Den Haag
Peter van Bosse	Den Haag
W.A. van Rees	Den Haag
Matthijs Salverda	Den Haag
E.J.P. Jorissen	
Gerard Keller	Arnhem
François de Casembroot	Den Haag
W.P. Sautijn Kluit	Amsterdam
Isaac Arnold Lamping	
Anton Gillis Cornelis van Duyl	Amsterdam
M.A.N. Rovers	Utrecht
J.J. Cornelissen	Leiden
A.L.H. Ising	Den Haag
Tobias van Westrheene Wzn	Den Haag
G.M. Boissevain	Bloemendaal
George Lodewijk Kepper	
H.P. van Karnebeek	Den Haag
H. van Herwerden	Utrecht
Cornelius Marius Kan	
J.S.G. Gramberg	Cobden, Illinois
C.J.F. Mirandolle	Haarlem
H.C. van Hall	
T.J. Stieltjes	Rotterdam
P.J.W. Teding van Berkhout	Deventer
Hendrik Pierson	
Peter van Os	
Willem Pieter Wolters	Grafenberg bij Dusseldorf
Adriaan van Eck	Leiden
W. Koster Gzn.	Utrecht
Sadi de Gorter	
G.A. van Hamel	Amsterdam
Cornelis Bellaar Spruyt	Hilversum
Jan Karel baron van Goltstein	Den Haag
Balthazar Heldring	amsterdam
Martinus Leopold	Arnhem
M.H. du Croo	Aalten
Victor de Stuers	
P. van Geer	Den Haag
Philip Reinhard Hugenholtz	Amsterdam
Willem Arnold Pieter Pistorius	
B. Carsten	Wiesbaden
Aart Admiraal	Schoonhoven
Pieter Marinus Netscher	Den Haag
Jean Baptist van Hugenpoth tot den Beerenclauw	's-Hertogenbosch
Bruno Jz. Tideman	Den Haag
Hendrik Wolfgang van der Meij	
Johannes Bodel Nijenhuis	Leiden
S.M.S. de Ranitz	
A.J.C. Geerts	Yokohama
Hugo Beyerman	Den Haag
H.J. van Ankum	Zeist
Pieter Heering	Den Haag
W.A. Verschuer	Den Haag
W.C. Hojel	Den Helder
W. Heineken	
Jan Willem Gerbrandt van Oordt	Kaapstad
Ocko Wicher Star Numan	
P. de Boer	Groningen
L.M.J. Glasius	
H. van de Stadt	
Jacob Paulus Amersfoordt	
M.C.L. Lotsij	Utrecht
Jacob Dirk Veegens	Den Haag
A.P.C. van Karnebeek	
J. l' Ange Huet	Rangkasbitung
W.K. van Dedem	Calcutta
Floris der Kinderen Fzn.	
Joan Frederik van Oordt	Kaapstad
Daniël Hartevelt	
Elise Adelaïde Haighton	Den Haag
Constantijn	Hertogenbosch
J.H.F. Sollewijn Gelpke	Bandoeng
Tijs Terwey	Amsterdam
Gerardus Petrus Booms	Den Haag
Pierre Joseph Henry Baudet	Utrecht
A.C. Loffelt	Den Haag
P.J. Cosijn	Leiden
A.T. Reitsma	
Taco H. de Beer	Den Haag
J.L. Hoorweg	
Jeronimo de Bosch Kemper	Amsterdam
Annaeus Frederik Eilerts de Haan	Meppel
Jan Hartog	Doorn
Frederik Christiaan de Brieder	
Rudolf Cornelis Hendrik Römer	Deil
D.W. Rost van Tonningen	
F.V.H.A. de Stuers	Den Haag
C.D.H. Schneider	Den Haag
Willem Bernard Johannes van Eyk	Den Haag
J.C. de Marez Oyens	
Ewaldus Daniël Pijzel	Amsterdam
N. Donker	
M. de Ras	Den Haag
Henrick Witte	
M.C. Piepers	
A. Elink Sterk jr.	Den Haag
J.A.F.L. van Heeckeren	Meerssen
Pieter de Jong	
F.H. Boogaard	Den Haag
Willem Hendrik de Beaufort	Den Haag
Willem Degenhardt	Amsterdam
Barthold Jacob Lintelo de Geer van Jutphaas	Utrecht
