Author	POD
Jan Lucassen	
Wout Ultee	
René Bekius	
Fréderique van Cleeff-Hiegentlich	
Annemarie Cottaar	
Frank Bovenkerk	
Aart G. Broek	
Igma van Putte-De Windt	
Gregor Benton	
Gèr Boosten	
J. Weisgerber	
David Minter	
Terrence Doody	
Joris Duytschaever	
Harold Beaver	
Michel Bartosik	Antwerpen
K. Michel	
Jan Peter Nauta	
Ton Ceelen	
Bram Kempers	
B.G.J. de Graaff	
J.C.H. Blom	
Kees Revier	
Han Foppe	
Joke Dame	
Flora Stiemer	
H.G. van Bueren	Zeist
Thom Holterman	
Joke Huisman	
Marijke Smalbraak	
Edmund Licher	
Johan Heilbron	
Paul M. Doolan	
Jan H. Mysjkin	
Ben van Melick	
Cok van der Voort	
Dick Molewijk	
B. Zwaal	
Mario Molegraaf	
Marietta Ioannidou	
Hero Hokwerda	
Jan Klees	
Andriëtte M. Stathi-Schoorel	
W.J. Aerts	
Salvador Hertog	Amsterdam
Lodewijk Brunt	
Ton Naaijkens	
Jos van Asperen	
Jan Gielkens	
Paul Marijnis	Leiden
André Brink	
J.H. van Dijk	
Guy Posson	
Elisabeth van Elsen	
Rob Delvigne	
Hans Aniba	
Hans Moll	
Herman Koningsveld	
Raymond van den Broeck	
Agnes M. Zwaneveld	
René van Hezewijk	
Philip van der Eijk	
Kitty M. van Leuven-Zwart	
Anneke Neijt	
Jenny Tuin	
Jos Perry	
G. van Os	
Cees Koster	
B.J. Asscher	Baarn
Dorie Nielen	
Helen Saelman	
Ines Colijn	
Anne Marie Heemskerk	
Daphne Muller	
Menno Kraan	
Miriam Van hee	
Maarten van Buuren	
Remieg Aerts	
Hubert Smeets	
Peter Odell	
Chun-chan Yeh	
Henny Scheepmaker	
Jean-Clarence Lambert	
Tess Visser	
Peter King	
Marc Galle	Gent
A.J. Goblet (d'Alviella)	Brussel
Hans Hom	
Sitor Situmorang	Apeldoorn
Robert P. Swierenga	
Jan Zielonka	
Monika van Paemel	
Jan Stavinoha	
Ágnes Roboz	
Eva Bodor	
Margret Brügmann	
Stephen Mennell	
Herman Liebaers	Sint-Pieters-Jette
Geoffrey Douglas Madge	
Mea M. Flothuis	
Monika Triest	
Ernest Zahn	
Ronald Jonkers	
Jan Bakker	
Kester Freriks	
Paul J.A. Frische	Heerlen
Frans Kusters	Nijmegen
Boeli van Leeuwen	Curaçao
Nicolette Smabers	
Jan Versteeg	
Gerrit-Jan Berendse	
Willem Derks	
Salvador Bloemgarten	
H. Schippers	
H. Schröder	
F.G. von der Dunk	
J. van Tooren	
Ieme van der Poel	
Manet van Montfrans	
Henk Hillenaar	
Ruud Meijer	
Maria van Daalen	
Hendr. Gerritsen	Amsterdam
E.M. Beekman	Northampton
Jack Vance	Oakland, Californië
John Heymans	
Michael O'Loughlin	
Jinke Obbema	
Jozef Deleu	
Roland Mortier	
Mark Schaevers	
Luc Huyse	
Anne Marie Musschoot	
Paul Claes	
Georges Adé	Edegem
Wim van Rooy	
Michel Oukhow	Antwerpen
Herman Sabbe	
Geert Bekaert	Mortsel
Nico Frijda	Amsterdam
C. Schmidt	
Evert van Uitert	
Marius Buning sr.	Amstelveen
L.K.H. van Beek	
Antoine Bodar	
Marja Brouwers	
Louise O. Fresco	
Jan Kostwinder	Amsterdam
Ron Elshout	
Kreek Daey Ouwens	
Mieke Tillema	
Laurens van Schie	
György Spiró	
Dorin Tudoran	
Jan Fontijn	
Rudi Wester	
J.J. Oversteegen	
Ian Gibson	
Nan Lenders	
Arjen Duinker	
J. Heymans	
Piet de Rooy	
Greetje van den Bergh	
P.H.J.T. Ververgaert	
Willem de Ruiter	
J.H. Brinks	
K. Kolthoff	
Henry Schogt	
Kristien Hemmerechts	
Miel Vanstreels	
Geert Maessen	
Barber van de Pol	
A.D. Leeman	
Theodor Duquesnoy	Amsterdam
Graa Boomsma	
M.J. Trappenburg	
Patricia de Martelaere	Wezemaal
Guido Eekhaut	
Stefaan van den Bremt	
J.A.A. van Doorn	Rijswijk
G.C. Molewijk	
C.J.F. Stuldreher	Amsterdam
Liesbeth Dolk	
Jero Gardenia	
Helena Spanjaard	
Lucas Reijnders	
Koos van Weringh	
Selma Leydesdorff	
Adriaan Venema	Amsterdam
Oscar van Weerdenburg	
Wouter Gomperts	
Henk te Velde	
Frank Albers	
Rouke van der Hoek	
Joachim von der Thüsen	
J.W. Onderdelinden	
Paul van der Heijde	
Maarten Doorman	
Eelco Runia	
Job Creyghton	
Antoine A.R. de Kom	
Riet de Jong-Goossens	
Karin van Lierop	
C.P. Bakker	
Joris Pintor	
Georgine Sanders	Fort Worth
Marc Schreurs	
Jan Timman	
H.H. Kubbinga	
Mark van Andel	
Lieneke Frerichs	
Mary G. Kemperink	
Anton van Wilderode	Sint-Niklaas
Umberto Eco	Milaan
Henny Vlot	
A. van Dantzig	Amsterdam
J. Mannoury	Bussum
Maarten van der Wee	
Niek Muller	
Ineke van Kessel	
A.L. Schneiders	
Wina Born	Amsterdam
Jan Mulder	
G.L. van Lennep	
Yvonne Kroonenberg	
Cisca Dresselhuys	
Ch.J. Enschedé	
Harry G.M. Prick	Maastricht
Huib van Krimpen	
Gerardjan Rijnders	
Max van Rooy	
Hans Maarten van den Brink	
Ben Bos	
Gerard de Vries	
Walter van den Broeck	
S.F. Baekers	
Agnes Verbiest	
Alex van Schooten	
Gie van den Berghe	
Michiel Mastenbroek	
P.J. Buijnsters	
Th.M. Scholten	
Henk Harbers	
Jeroen Boomgaard	
Andries Sarlemijn	
Michiel van Kempen	
Guido van Heulendonk	
Jeroen J.H. Dekker	
Willem van den Berg	Rhenen
Jan Brands	
Joël Cahen	
Ernst van Alphen	
Ria van den Brandt	
Stephan Sanders	
Hugo Verdaasdonk	Amsterdam
Christa Schuenke	
Maruschka Romijn	
Thomas Rosenlöcher	
Christine Delhaye	
Rudi Laermans	
Koen Dille	
Rik Lina	
Saskia Poldervaart	
Jan Bervoets	
Andries Querido	
W.S. Huberts	
Lambert Lambertz	
Richard Todd	
Winnie Todd-Kooy	
Bert Wartena	
Kamiel Vanhole	
Marc Adang	
Tjebbe van Tijen	
Jean A. Schalekamp	nabij Costitx (Mallorca)
M.J.P.M. Weijtens	
Olga Krijtová	Praag
Zofia Klimaszewska	
René A. Römer	
C.E. Dip	
Luc Alofs	
Alex Reinders	
Gladys do Rego-Kuster	
Carel de Haseth	
Jules de Palm	
Henry Habibe	
Walter J.M. Palm	
Elis Juliana	
Lasana M. Sekou	
Wim Rutgers	
Jos de Roo	
Frans Heiligers	
Robert A. Rojer	
Felix de Rooy	
Michael A. Newton	
Roel J. den Dulk	
Emma Crébolder	
Yvonne Né	
Marc Groenhuijsen	
Leo Morpurgo	Parimaribo
Theo Para	
Peter Meel	
Nardo Aluman	
Frans Malajuwara	
Ruud Beeldsnijder	Den Haag
Celestine Raalte	
Carlo Hoop	
Dorus Vrede	
André Pakosie	
Surianto	Paramaribo
G.D. van Wengen	Oegstgeest
Joanna Werners	
Jit Narain	
Theo Damsteegt	
Chitra Gajadin	
Astrid Roemer	
Cándani	
Henna Goudzand	
Marcel Bénabou	
Gemma Pappot	
Piet Meeuse	
Jan van der Waals	
Maurice van Lieshout	
J.J.M. Bakker	
Lucy Kooman	
Peter van Ham	
Jos Joosten	
Jack van der Weide	
Marc Kregting	
Joy Arpots	
D. Frenkel	
J.W. Nobel	
Boris Todoroff	
Max Niematz	
Fleur Thomése	
Frans van Zetten	
Kees Hensen	
Fransje Klaver	
Mieke Bal	
Elrud Ibsch	
J. Neubauer	
Carel Peeters	
Maaike Meijer	
Jolande Withuis	
M. Weisglas	Den Haag
Klaas Koetje	
Michael Tophoff	
Conny Kristel	Amsterdam
Maarten Asscher	
Willem Schoonen	
J. Breman	
Ann Laura Stoler	
Jeanette Bos	
H.W.J. Drijvers	Groningen
M. Stol	
Heather Sutherland	
Maria Bosch	Amsterdam
Doris Edel	
Dorelies Kraakman	
Annet Mooij	
Kees van Hage	
Vincent Hunink	
R.Th. van der Paardt	
Piet Gerbrandy	
Mieke Koenen	
Reinold Vugs	
Marja Loomans	
A. Bergsma	
Anita Wijzenbroek-Zoethout	
Sara van Epenhuysen	
P. Hijmans	
Cornelia Wilhelmina Bosch	
A. Agnes Sneller	
Odile Heynders	
Rien Verhoef	
W.J. van den Akker	
Helenius Munt	
Irene de Jong	
C.M.J. Sicking	
D.M. Schenkeveld	
Fred Spier	
Marcel Kurpershoek	
Julia Quak-Stoilova	Zaandam
Frederike van der Leek	
Ed van der Elsken	Edam
Herman Kaal	
Freek de Jonge	
Mark Smeets	
Carla Rijkenberg	
Cees van der Pluijm	Arnhem
Ida Vos	Amstelveen
Karl Edersheimer	
Peter Buijs	
Barbara den Uyl	
Nelleke Noordervliet	
Helen Wilcox	
Ben van der Velden	
Wim Denslagen	
Joes Segal	
Gerard van Emmerik	
H.C. Hemker	
Caroline van Eck	
Repke Hollema	
Walter van der Kooi	
Philip Mechanicus	Amsterdam
C.W. van de Watering	
Peter Bergsma	
Léon Hanssen	
Casper Hakfoort	
P. Clausing	
Peter Drehmanns	
Nan van Houte	
Janny Donker	
Robert Steijn	
Ger Thijs	
Karst Woudstra	
Tonie van Marle	
Marcel Möring	
Hana Bobková	
Paul Binnerts	
L. Frank	
Marianne van Kerkhoven	
Cas Enklaar	
Ton Lutz	
Lien Heyting	
Marijn van der Jagt	
Loek Zonneveld	Amsterdam
Tom Blokdijk	
Otto Valkman	
Ritsaert ten Cate	Amsterdam
Hedy d' Ancona	
Erik Slagter	
Siem Bakker	
Karol Lesman	
Jan Blonski	
Jan van der Meer	
Goenawan Mohamad	
Herman de Kat	
Ton Hoenselaars	
Joep Leerssen	
Hans Goedkoop	
Jelle Koopmans	
Karin Tilmans	
Helen Gerretsen	
Niels Helsloot	
Joris Note	
Tom van As	
Ludo Abicht	
Madeleine van Strien-Chardonneau	
Margarete van Ackeren	
Dick Dooijes	Baarn
Otto Treumann	Weesp
Gerrit Noordzij	
Pieter Brattinga	Kootwijk
Cees van Dijk	
Ad ten Bosch	
Wim Crouwel	
Gerard Unger	Bussum
Kurt Löb	Amsterdam
Ger Kleis	
Paul Hefting	Haarlem
Christoph Noordzij	
Melle Broeksma	
Peter Mertens	
Swip Stolk	
Frank Blokland	
Gitte Postel	
Margreet Schrevel	
Paul Beers	
Sjaak Commandeur	
Frans van Dooren	Oss
Marijke Emeis	
M. D'Hane-Scheltema	
Jeanne Holierhoek	
Frida Vogels	
Kees Mercks	
Cora Polet	
Jean Pierre Rawie	
Mariolein Sabarte Belacortu	
P.H. Schrijvers	
Frans van Woerden	
Hans Vandevoorde	
Caroline Meijer	
Hans Henkemans	Nieuwegein
Ton Lemaire	
Marc Reugebrink	
K.-J. Citron	
Micha Hilgers	
Kathinka Dittrich van Weringh	
Henri Beunders	
Erhard Blankenburg	
Michael Hamburger	Suffolk
José F.A. Oliver	
Carla Bogaards	
Bodo Kirchhoff	
Annemiek Munstermann	
Wolfgang Hilbig	
Ruurd Bakker	
Hubert van den Berg	
Peter Abelsen	
Frans Geraedts	
Leonard de Jong	
Edwin Krijgsman	
Lies Wesseling	
Tijn Boon	
Tijl Huygen	
J.C. Hess	
Dewijch Griffioen	
Herman Leenders	
Per Hojholt	
Annelies van Hees	
Barbara Noske	
Tomas Vanheste	
Jacques Arends	
Nanda van den Berg	
Benjamin Biebuyck	
Chris Keulemans	
Catherine Barel	
Fernando Venâncio	
Sophia de Mello Breyner Andresen	Lissabon
Arie Pos	
Luís de Sousa Rebelo	
Mário-Henrique Leiria	
Harrie Lemmens	
Emile Schra	
Peter Brook	
Jan Ritsma	
Emanuel Overbeeke	
Frank Kouwenhoven	
Oswin Schneeweisz	
Benno Premsela	
Roeland Gerritsen	
Willy Coolsaet	
Bai Juyi	
Eva van Schaik	
David Vaughan	
Hans Snoek	
Kees Hogenbirk	
Ben Knapen	
Margriet de Moor	
Mark Richartz	
Hugo Brems	
Edith van Ruyven	
J. van Heetvelde	Brugge
Jean-Pierre Plooij	
Guy Widdershoven	
Wim Tigges	
Xandra Schutte	
Peter Verhelst	
Joris Verheijen	
Ed Leeflang	Amsterdam
Dago Steenis	
Peter Nijssen	
Frank vande Veire	
Mario Gommeren	
Jan Hein Furnée	
Carine Meulders	
Frans Kingma	
Kees Bruin	
Jorge Esquinca	
Alexander Koesjner	
Annegret Böttner	
Dino Campana	Scandicci
Onno Kosters	
Simon Armitage	
Yves Bonnefoy	
John Ashbery	
Peter Handke	
Philippe Jaccottet	
Michael Donhauser	
Michael Ondaatje	
Hans Kloos	
Bruno K. Öijer	
Franz Baermann Steiner	
Jacques Roubaud	
Olga Sedakova	
Ulrich Meister	
Ad Beenackers	Nieuwegein
Tonnus Oosterhoff	
Maarten van Delden	
Mario Vargas Llosa	
Juan José Arreola	
Juan Carlos Onetti	
Horacio Quiroga	
J.L.J. van Schoot	
G. Vertogen	
Arnold Heumakers	
Dirk van Delft	
Johan Reyniers	
Hugo Dittberner	
Esther Jansma	
Etienne van Heerden	
Roland Jaccard	
H.J. Houte	
Slavoj Zizek	
Thomas Elsaesser	
Marc de Kesel	
Predrag Dojcinovic	
Margreet Schouwenaar	
Geert Lernout	
Lucy Grealy	
Marian Lameris	
Herman Cohen	
Joh. R. Vlek	
Herman Philipse	
Anton Ent	
R.B. Kitaj	
Dorinde van Oort	
Dirk van Weelden	
Clarín	
Doeschka Meijsing	Amsterdam
Phillip Herring	
M. de Boer	
Günter Grass	
Jan Hontscharenko	
Paul Bogaert	
William Carlos Williams	
Chris Honingh	
Wieke Bonnier	
Eltjo Muntinga	
Marie de Meister	
René J. van Boven	
Jan Lampo	
Joris Denoo	
Frank Verkuijl	
Martien Kappers	
Johan de Boose	
Else Lasker-Schüler	
H.C. Halberstadt-Freud	
Joke J. Hermsen	
Lut Missinne	
Thomas Leeflang	
Karen Vintges	
Christa Stevens	
Antoine Verbij	Berlijn
Winnie Sorgdrager	
G.M. Hopkins	
W. Bronzwaer	Nijmegen
Rudy Bremer	
Saint-John Perse	
Claude van de Berge	
Monica Soeting	
Philippe Sollers	
Leonard Beuger	
Hans Achterhuis	
Mark Boog	
Peter Swanborn	
August Willemsen	Amsterdam
Graciliano Ramos	
Gerard Nienhuis	
André Schmitz	
Josef Winkler	
Jan Eijkelboom	Dordrecht
Bora Cosic	
Mattijs van de Port	
Ariejan Korteweg	
Zoran Djukanovic	
Rüdiger Safranski	
Joost Niemöller	
Thomas Rosenboom	
Magnus Hisrschfeld	
Edouard Roditi	
Dieter Hülsmanns	
Erik Zürcher	Warmond
Maghiel van Crevel	
Chuan Xi	
Peter Buwalda	
O. Hammerstein	
Martijn van Calmthout	
Yücel Yesilgöz	
Ankie Lempens	
Ole Bouman	
Menno Tamminga	
Jos de Wit	
Hein Groen	
Jan Heemstra	
Marc Schoorl	
Herman Koch	
Koen Peeters	
Pol Hoste	
Leon Gommers	
Russell Artus	
Peter Theunynck	
Erik Menkveld	Amsterdam
Arjen Mulder	
Eric de Kuyper	
Wim Hottentot	
Peter Verstraten	
Basha Faber	
Klaus Theweleit	
Manon Uphoff	
Gert Hekma	
Leo Steinberg	
Yukio Mishima	Tokio
Jacques Westerhoven	
Jantine Oldersma	
Wislawa Szymborska	
Felicitas Hoppe	
C.F. van Beusekom	
Sven Danner	
Sjaak Koenis	
Harry N.A. Priem	
Kees 't Hart	
Pam Emmerik	Rotterdam
Joke van Leeuwen	
Hedda Martens	
Charles Simic	
William T. Vollmann	
Nicolaas Matsier	
Oek de Jong	
Alain Robbe-Grillet	Caen
Els Broeksma-van Capelle	
Bart Verschaffel	
Karl Krolow	
René Boomkens	
Herman de Coninck	Lissabon
Hugo Bousset	
Atte Jongstra	
Yra van Dijk	
Goffe Jensma	
Koen Koch	Amsterdam
Rinus Ferdinandusse	
Roelof Haveman	
Marjan Wijers	
Jan Willem Duyvendak	
L. Laeyendecker	
Yves van Kempen	
Joyce Outshoorn	
Wouter Vanstiphout	
Harry Oosterhuis	
Chris Rutenfrans	
Tom Schalken	
Pamela Koevoets	
Rob Schouten	
Kees Vuyk	
Frank Reijnders	
Ciaran Carson	
Frits Abrahams	
Ed van Thijn	
Maria Stahlie	
John Jansen van Galen	
Mirjam Schöttelndreier	
Thijs Wöltgens	Kerkrade
Ido de Haan	
Stella Braam	
Irene Costera Meijer	
Jos de Putter	
Arnon Grunberg	
Helga Ruebsamen	Den Haag
Michael Frijda	
Maarten Elzinga	
Kees Bokweide	
Marjoleine de Vos	
Chris Lorenz	
Jos van der Lans	
Jeroen Onstenk	
Kees Vreugdenhil	
Charles Reznikoff	
Jules Laforgue	
Matsuo Basho	
Gregor Laschen	
Lennart Sjögren	
Theodore Roethke	Bainbridge Island, Washington
Ria Loohuizen	
Ernst Jandl	
Adolf Wölfli	
Joannes Six van Chandelier	
Johannes Bobrowski	Berlijn
Ted Hughes	
Caroline Lamarche	
Bibiana Mikkelsen	
Stine Jensen	
Hein-Anton van der Heijden	
Godert Posthumus	
Bart Moeyaert	
Tayeb Mokeddem	
Pierre Michon	
Rokus Hofstede	
David Foster Wallace	
Göran Tunström	
Marcel Beyer	
Wil Hansen	
Durs Grünbein	
Sasbout Beukelsz. v.d. Burch	
P.C. Verveen	
Mirna Velcic-Canivez	
Pim van Tol	
Armand van Assche	Waasmunster
Bob Baljet	
K. van Berkel	
Marijke Besselink	
Fred Dijs	
Otto Egberts	
Roelof van Gelder	
Tijs Goldschmidt	
Harm Habing	
Hubert-Jan Henket	
Wim Hofman	
Frederike Huygen	
Hans Keller	
Aad Kosto	
Reinier Lucassen	
Fred Pelt	
Marieke Sanders-ten Holte	
Gary Schwartz	
B. Sliggers	
Jan Tromp	
R.P.W. Visser	
Bart Vos	
J.H. van der Waals	
Aryeh Lev Stollman	
Babet Mossel	
Matthé Sjamaar	
Huib Schwab	
Raj Kamal Jha	
Jelle Noorman	
Gijs van Oenen	
Koedooder & Heilig	
Derek Walcott	Gros Islet
Hans Onno van den Berg	
Gustav Herling	Napels
Peter-Paul Verbeek	
Petran Kockelkoren	
René Puthaar	
Bart Vervaeck	
Erwin Mortier	
Martin Bril	Amsterdam
Simon Frith	
Pieter Cramer	
Wouter Klootwijk	
Ivan Nio	
Arjan Witte	
Ko Kooman	
Peter Holvoet-Hanssen	
Miguel Declercq	
Paul Valéry	
Max Beckmann	NA;NA
Thomas Vaessens	
José van Dijck	
Brady Udall	
Bert Meelker	
Guus Middag	
Robert Gernhardt	
Gerrie Bruil	
Joost Zwagerman	Haarlem
Anton van de Wardt	
Jonathan Treitel	
Jan Lodewijk Mercelis	Strombeek Bever
Hilda Ram	Antwerpen
Hector Claeys	Kanegem
August Cuppens	Loksbergen
Hendrik Persyn	
Gustaaf Verriest sr.	Saint-Cloud
Hugo Verriest	Ingooigem
Henri Donders	
Eug. de Lepeleer	
A.M.J.I. Binnewiertz	
Alfons Jozef Maria Janssens	
Delfien Vanhaute	Edewalle
Omer Karel de Laey	Hooglede
A.W. Sanders van Loo	
H.J.A.M. Schaepman	Rome
Jozef Jacobs	
Prosper van Langendonck	Brussel
Jacob Lenaerts	
Aloïs Walgrave	Brugge
Hendrik de Marez	Merelbeke
Jef Hinderdael	Soest
C. van Ongeval	
Frans Drijvers	Willebroek
Paolo Gentili	
Edward van Even	Leuven
Lambrecht Lambrechts	Gent
Peter Jozef Tijsmans	
Adriaen Lourisz Lepel	
Desideer Claes	
A.G. Welvaar	
Th. Heidebrand	
A. Weemaes	
Edward de Grijse	
H. Bischoff	
Fr. Meeus	
A. Verheyen	
H. Sermon	Borgerhout
van der Veur	
Lambert Jageneau	
Alb. vander Elst	
John Lancaster Spalding	
Ch. Lucas	
Florimond Heuvelmans	Den Haag
de Ticheleer	
Leo Goemans	
Adolf de Ceuleneer	Mortsel
Emiel de Grave	
Mimosa	
August Victor Bultijnck	
P.C. de Bruyne-Klinkenberg	
Melati van Java	Noordwijk aan Zee
Martin Brants	Schaarbeek
Ed. Loos	
Jan Kornelis de Cock	Davos
J. Erembout	
Johannes Jörgensen	
Johannes Romboldus van der Lans	
Arthur Wenthworth Powell	
Jan Craeynest	Sint-Michiels
Joz. vanden Eynde	
A. Habets	
H. van Houtte	Gent
G.H. Haastert	
Adolf Rutten	
Alphonse Naert	
Jan Stuyt	
Eugène Isebaert	
Alfons Mervillie	Kortrijk
Eugeen Leën	Hasselt
P.L. van den Heuvel	
Jaak Boonen	
C.P.F. Lecoutere	Knokke
Paul Hamélius	Luik
A. Prayon-van Zuylen	
J. Sencie	
Simonart	
P. Rutten	
Constant Eeckels	Elsene
Henri W.J. Schouten	
H. de Vocht	
C. Callewaert	
Lodewijk De Wolf	
I. Vandegaer	
F. Palmen	
Herman Linnebank	
O. Cornet	
Paul Bellefroid	Nijmegen
G. van Poppel	
Hubert van Fall-Mheer	
H. Hosdey	Hoeilaart
Gustaaf Segers	
Frans van Cauwelaert	Antwerpen
Jean-Baptiste de Bethune	Heestert
D. Staroger	
A. Bertang	
J. Kleyntjens	
Em. van Cappel	Izegem
A. van Eigenleven	
C. de Waal	
J.W. van Heeswijk	
Ernest Soens	
Simon Staf	
Lodewijk Ontrop	Antwerpen
A. van Wassenhove	
Alfons de Cock	Antwerpen
Alfons Fierens	
Jozef de Voght	Meerhout
J.A. van Lieshout	
L. Scharpé	Betekom
J. Lievens	
Jan van Leenen	
X. Smits	
J. Kautzen	
Jozef Muls	Kapellenbos
D.A. Stracke	
H. Gabriëls	
F.P. Lorreins	
Eug. vander Heyden	
Lodewijk Vincent Scheltjens	Rupelmonde
J. Jacobsen	
Fr. van den Weghe	
B. Adriaansen	
E. Vliebergh	
Emiel Hullebroeck	
C. Clerckx	
Franz Mets	
E. van Fraechem	
J. Verest	
Alfons Siffer	
L. Ghys	
Tom Bruce	
Leo van Nerum	
Dirk van Minden	
A. Carnoy	
Cl. Buvé	
I. de Vreese	
Omer Wattez	Sint-Lambrechts-Woluwe
Albrecht Rodenbach	Roeselare
R. Maere	
W.W. Druenlanders	
Karel Elebaers	Herentals
Z. Peeters	
A.M. van Kersbeek	
E.J. Mertens	
J. Fischer	
Alfons Moortgat	Tiegem
Thomas Ryetius	
P. Henneckes	
Th. van Tichelen	Sint-Gillis
Jan Franssen	
P.J. Stinissen	Borgerhout
Titus Brandsma	Dachau
Stephanie Vetter	
Fr. Ludovicus Blomme	
D.A. Dyland	
R. Lemaire	
L. Noël	
Em. Broes	
Gabriël Verborght	
A. Taelman	
B. van Kesteren	
L. van der Essen	
Jan Gessler	Heverlee
Felix Timmermans	Lier
J. van Mollé	
Johannes van Well	
Octaaf Steghers	Sint-Jans-Molenbeek
E. van Leuven	
Fr. Bertrand	
Julie van der Lans-Russel	
Arthur de Vos	
Gerrit Grijns	
F. Verhelst	
F. Dewitte	Emelgem
H. Coppieters	
Fr. Stanislas	
S.L. van Berne	
Ernest Claes	Brussel
J. Jos Kempenaers	
J.F. van Olmhof	
Juul Grietens	Borgerhout
Petrus Dubois	Amsterdam
L. Ghijs	
F. van Calloo	
Theo Brakels	
J. Wagemans	
Jozef de Cock	Roosendaal
Jules van Nuffel	Wilrijk
J.-J. Symoens	
M. Dewickere	Gent
V. Voorden	
Emiel Fleerackers	Turnhout
Ivo Struyf	Kikwit
J. Mees	
Dés. de Kock	
Arthur Meulemans	Etterbeek
Gust Doussy	
C.W. van Berkel	
Joseph Feskens	
Frans Delbeke	Londen
A. Baert	
P. Petrus M. Janssens	
O. d' Hose	
P. Bertrand	
Albin van Hoonacker	
Jozef Arras	Lier
Jacob Mees	Nijmegen
K. de Wals	
H. Mansion	
P. Soens	
Gust. Hens	
Arthur Coussens	
René Adriaensen	
A. Verstreken	
Jozef Vercoullie	Gent
P. Placidus Eykens	
P. Hildebrand	
Jaak van Rettipo	
F. Michielsens	
Karel van de Vijver	
J. Mansion	
Berthold Missiaen	Brugge
E.H.Hendrik de Vis	
Goevaart	
Leo van Riel	
Aloïs Van Loy	
Armand van Veerdeghem	Oudergem
Emiel van der Straeten	Sint-Truiden
Jan Bernaerts	Westerlo
H. Brutsaert	
Cyriel de Baere	Beringen-Mijn
P. Janssens	Terneuzen?
Ivo Cornelis	
Jan Hammenecker	Westrode-Wolvertem
Sam Devriendt	
George Roose-Antonissen	
P.A. van Rooy	
Léonce Reypens	Sint-Maria-Oudenhove
Aug. Bruijnseels	
Camille Poupeye	Schaarbeek
A. van den Dries	
Henri van Deursen	
Jozef Simons	Turnhout
Perquy	
A.J. van de Perre	
Marcel Romeo Breyne	Ahrensburg
J. de Berraly	
P. de Dura	
D. Logeman-van der Willigen	Brussel
A. van Beirendonck	
Victor Naveau	Boechout
Radvliet	
Jos Pierreux	
Ivo Engelen	
E. van Dievoet	
J. Buelens	
Lod. van Mierop	Bussum
A. Lhorijn-Thans	
Leo van Dorpe	
Jan Job	
Aug. Bruynseels	
Jef Crick	Sint-Amandsberg
C. van Malten	
L.H. Smeding	
Maria Viola	Ouderkerk a/d Amstel
Edward Vlietinck	Berchem
Jaap van Manen	
Raphael Ligtenberg	
H. Pauli	
Rob. Ree	
L. Bril	
P. Berthold	
Joseph Bittremieux	Brugge
C.J. Vierhout	
Cyriel Verschaeve	Solbad Hall
Koh-i-noor	
Leo Speet	Aerdenhout
[tijdschrift] Van Onzen Tijd	
J. Caekbeke	
Edward Vermeulen	Hooglede
Edward van Bergen	Naaldwijk
K. Camerman	
Albert van Driessche	Sint-Niklaas
Paul van Alderman	
Juul Filliaert	Nieuwpoort
Joost Stokers	
Gery Helderenberg	Lede
L. Vermeirsch	
Johan van de Natuur	
Joh. van Dinter	
Odo Siril	
Filip de Pillecyn	Gent
Huber Lebon	
J. de Porr	
Lodewijk van Eyck	Turnhout
Joseph Laenen	
Maurits van Hoeck	
Frans Verschoren	Westmalle
Evermar van Moere	
J.F.M. Coveliers	Ieper
R. Foncke	Gent
Florentijn Jan van der Mueren	Leuven
V. Willems	
zuster Maria Jozefa	
Dirk Vansina	Leuven
René Gaspar	Helmond
Jan Boon	Ukkel
Wilhelm Scherer	
Remy Saen	
Joris Caeymaex	Lommel
Lambert Aerts	
Leo Bittremieux	
Josette Pasquasy	
August Nobels	
A.R. Vincke	
M.R. Pauwels	
Hilaire Allaeys	Antwerpen
Amaat Vyncke	Kibanga
E.D. van Nuffel	
Julius de Wachtere	
Jozef Goethals	
P. Kubben	
J. Coenen	Gellik
Jos. de Roeck	
Constant Lindemans	Brussel
Lynn Doyle	
Alexander Elberts	Deventer
Jan Paquay	
L. Grootaers	Leuven
A. van Langendonck	
Eva Moltesen-Hällström	
Karel Brants	
van Huffelen	
Hubert van de Weerd	Brussel
Jef Scheirs	Sint-Agatha-Bergem
Prosper Poullet	
P. Thuysbaert jr.	Lokeren
Raynerius Podevijn	
Eugène Joors	Berchem
Hendrik Mande	Delft (klooster Sion)
Eduard Amter	Leuven
Stephanus de Clippele	Kortrijk
I.S. Toergenjev	
Jos. de Klerk	
Maurits Coomans	
A. Geerebaert	
Edmond Rubbens	
Johannes Tauler	
J. van Malderen	
Edw. De Schaepdrijver	
Jozef van Reusel	Leuven
Lode Monteyne	Berchem
Jan Bols	
Anton Van de Velde	Schilde
L. Debruyn	
Frisc over de Heiden	
Karel Pauwels	
B.H. Molkenboer	
Jos Vermeulen	Gent
Oscar Monstrey	Roeselare
Clemens van der Straeten	
Jos Spriet	
L. Uten	Boechout
Semper Jejunus	
A. Nagels	
Joseph Coppens	
Mirza Riza Viham	
Karel van Sull	
L. Seurinck	
J. Rombouts	Mortsel
Stephanie Claes-Vetter	Brussel
Arthur Boon	
R.V. Mortier	Brugge
Eugenius Druwé	
Gérard Philips	
J.A. Goris	
Charles Gillès de Pélichy	
J. Heyrman	
Odilon Demarre	Sleidinge
Leonie Weckx	
Julius Plancquaert	Flobecq
