	0
Evert van den Berg	83.89051226551257
A. Sassen	142.88253968253954
D.A. Stracke	126.34642857142829
O. Cornet	85.4543650793656
Ralf Grüttemeier	2.0
Piet Couttenier	98.44523809523831
Emmanuel de Bom	136.1273809523807
Jacob Smit	115.04920634920637
G. Kurth	104.57023809523803
Omer Wattez	126.34642857142829
Anton van Duinkerken	197.0928571428574
C.C. Uhlenbeck	126.34642857142829
Laurens van der Waals	126.34642857142829
P.H. van der Kemp	1.0
Hans Warren	89.15396825396857
José-Maria de Heredia	98.27658730158755
Joris Gerits	84.14051226551256
Jan Engelman	170.8428571428577
M.F. Fresco	101.41746031746057
Ernst van Alphen	97.35674603174633
Wardy Poelstra	0.0
Stefaan Evenepoel	88.15396825396857
Pieter van der Meer de Walcheren	132.88690476190442
Jan G. Elburg	102.93650793650828
Tadeusz Rózewicz	72.21709956709952
P.N. van Eyck	174.10238095238154
F.W. van Heerikhuizen	126.34642857142829
Jozef Simons	133.104761904762
Henk Krijger	86.87222222222267
N.A. Donkersloot	162.72619047619102
Cor van Bree	84.14051226551256
Gerard Valette	0.0
F. Veenstra	134.94642857142847
G.J. Hoogewerff	126.34642857142829
G.E. Opstelten	126.34642857142829
Kas Deprez	0.0
A.J. Schneiders	126.34642857142829
Pieter Rutger Feith	0.0
M.H. Schenkeveld	96.64761904761932
J.C.A. Fetter	122.9801587301588
Anton van Wilderode	87.15396825396859
J. Talloen	0.0
P.C. Boeren	126.34642857142829
Martin Permys	122.76349206349211
Hans Henkemans	112.34246031746062
Willem Nieuwenhuis	138.9773809523807
F. Bordewijk	155.32738095238116
C. de Boer	126.34642857142829
Johanna K. Oudendijk	121.84682539682547
Frits Hopman	128.47142857142822
J.M.J. Sicking	113.37936507936539
Walter van den Broeck	96.04365079365112
A.J.D. van Oosten	153.1511904761906
H.C. Rogge	3.1666666666666665
W.G.C. Byvanck	0.0
Ares Koopman	2.0
Louis Couperus	164.3261904761907
G. Engels	126.34642857142829
R. de Josselin de Jong	1.0
W.G. Klooster	118.03373015873025
F. Lulofs	112.87936507936537
Lisa Kuitert	84.14051226551256
J.H. Holwerda	1.0
P.J. Blok	2.0
F.H. Fischer	128.47142857142822
Guido Gezelle	205.19285714285735
J.A. Huisman	130.2992063492062
Chr. Stapelkamp	129.94642857142827
Kees Meekel	126.34642857142829
Edgard de Bruyne	0.0
M.H. van Campen	146.00238095238103
Pieter Korthuys	72.66908369408378
H.F. Wijnman	126.34642857142829
Hans van de Waarsenburg	88.15396825396859
Armando	118.90198412698437
Jef Geeraerts	90.31111111111142
Maurits de Meyer	126.34642857142829
A. Jager	126.34642857142829
Hans Broekhuis	84.14051226551256
Paul Fredericq	126.34642857142829
J.H. Kern	129.94642857142827
Marcel de Smedt	0.0
Fr. van Baarle	0.0
J. van Vloten	129.39642857142823
Martin Ros	88.15396825396859
N.G. van Kampen	1.0
Paul Vanderschaeghe	87.15396825396859
M. Vasalis	2.0
Johan Fabricius	126.34642857142829
F.W.N. Hugenholtz	101.6757936507939
Patricia de Martelaere	87.51868686868708
G. Kalff	153.53571428571448
J.D.C. van Dokkum	126.34642857142829
Eric van der Steen	126.34642857142829
C. van Vollenhoven	117.54404761904773
J.C. Kannemeyer	3.0
A.R. Hol	126.34642857142829
J.N. Bakhuizen van den Brink	121.84682539682547
Urbain van de Voorde	131.09642857142822
J.H. Winkelman	85.47384559884587
Stanislaw Predota	100.54246031746057
Hendrik Conscience	147.96309523809535
W. Gobbers	121.29087301587307
Bert Bakker	165.38452380952359
Constant van Wessem	141.77023809523803
C. Winkler	1.0
H.A. Wage	124.61587301587308
J.H. van den Bosch	130.4464285714283
Frans Coenen	146.56904761904775
Karel van Isacker	112.8702380952382
F.L. Bastet	88.65396825396857
Jan van Lumey	0.0
Dirk Verbruggen	87.15396825396859
Frans Erens	150.0523809523812
J. Salsmans	131.84920634920647
P.C. Schoonees	127.34642857142829
K.H.E. de Jong	126.34642857142829
Gerard den Brabander	126.34642857142829
Robert Macalester Loup	0.0
Richard Minne	141.95238095238093
Anna Blaman	138.31071428571408
Victor J. Brunclair	143.83452380952372
Lode Baekelmans	147.15952380952402
Leo Vroman	150.35119047619008
Carry van Bruggen	145.09523809523827
Annie Romein-Verschoor	129.56309523809492
Reinbert de Leeuw	136.63730158730112
Bert Kooijman	87.15396825396859
Jacques Gans	0.0
H. Mol	149.0035714285717
Charlotte Mutsaers	77.84567099567084
S.P. Uri	126.34642857142829
R. Lievens	143.38253968253954
Dieuwke E. van der Poel	104.00912698412725
H.H. Knippenberg	126.34642857142829
K.C. Peeters	126.34642857142829
Jan van Nijlen	138.51190476190453
K. du Bois de Vroylande	152.89642857142857
W. Ruys	87.15396825396859
G. Knop	126.34642857142829
L. Arts	155.04642857142855
Jan Blokker	114.85198412698438
Wiel Kusters	93.97063492063522
Halbo C. Kool	139.18690476190466
P.N.G. Pesch	101.1757936507939
Marieke M. van Oostrom	0.0
Louis Bruyns	108.9369047619048
Pieter Frans Fransen	107.07023809523812
Hendrik van der Wal	86.81269841269895
Arthur Dirksen	78.74329004329032
Henrik Scholte	126.34642857142829
Gustaaf Segers	126.34642857142829
W.J.C. Buitendijk	145.1130952380954
Henri Borel	133.68690476190446
J.H. van Lessen	126.34642857142829
L.L. Hammerich	126.34642857142829
P.C. Boutens	158.40238095238124
Joris Denoo	87.15396825396859
Jacqueline de Man	100.54246031746057
Bert Ranke	132.7297619047616
Antoon Fimmers	0.0
Willem van Toorn	88.15396825396859
Jaak Muyldermans	85.9543650793656
J.G.M. Moormann	126.01309523809496
Nicolaas Beets	143.48690476190475
C.B. van Haeringen	160.96785714285744
N.E.H. van Esveld	123.01349206349211
Georges Adé	87.15396825396859
Norbert Elias	79.01273448773435
E.J. Potgieter	154.4535714285717
P.J. Veth	116.67420634920644
Ernst van Heerden	128.6797619047616
Han Lammers	138.5206349206344
F. van Elmbt	0.0
G. Gerritsen-Geywitz	110.7126984126987
Paul Snoek	118.38095238095235
Emiel Jan Janssen	155.54642857142855
Kees Fens	129.86587301587304
Jan Emiel Vliebergh	85.4543650793656
Nic van Bruggen	87.15396825396859
J. Saks	126.34642857142829
Frank Willaert	109.13650793650824
G. Garmijn	0.0
A. Goslinga	126.34642857142829
Oscar Dambre	0.0
Albert van Hoogenbemt	128.82261904761867
Fr. Daems	110.54603174603204
David Koning	117.24920634920657
Karel De Clerck	0.0
Lucebert	164.63452380952347
J.J. Vriend	99.36706349206406
F.E.J. Malherbe	126.34642857142829
Jules Persyn	133.0964285714283
Daniël de Lange	112.16865079365112
Fr. Meeus	85.4543650793656
J.D.M. Cornelissen	126.34642857142829
Jozef Jacobs	0.0
G.J.M. van het Reve	0.0
Jan van Bakel	132.63253968253954
Jaap van Gelderen	1.0
E. Vliebergh	102.33253968253987
Ad Foolen	2.0
Marita Mathijsen	93.22702020202043
Ary Delen	126.34642857142829
D.A. de Graaf	0.0
Willem van Maanen	121.1801587301588
Willem Doorenbos	126.34642857142829
J.J.M. Westenbroek	2.0
Marcel Janssen	100.02698412698443
Marnix Gijsen	198.0357142857145
W.N. du Rieu	0.0
Hans Lodeizen	87.15396825396859
Juul Filliaert	100.90595238095261
Bert Voeten	147.51785714285663
Willem Hendrik de Beaufort	0.0
Anton Koolhaas	109.2019841269845
Conrad Th. van Deventer	0.0
Pieter G. Buckinx	133.17976190476165
Joost Hiddes Halbertsma	126.34642857142829
J. Sperna Weiland	86.5448773448778
J.A. Dautzenberg	1.0
Dirk de Geest	91.32063492063524
Koos van Doorne	2.0
J. Aleida Nijland	126.84642857142829
A. Kluijver	0.0
Emmy van Lokhorst	144.36071428571418
F.G. Droste	123.11587301587309
Raphaël M.J. Kreemers	109.01428571428578
Maarten Klein	2.0
R.W.P. de Vries	1.0
Dirk Geeraerts	2.0
Ger Harmsen	0.0
Jan Gessler	126.34642857142829
Rudolf Dekker	102.84246031746058
Maurice Gilliams	140.31309523809512
W.A. Braasem	114.62063492063511
H.J. Verkuyl	127.10039682539694
Léon	188.5428571428572
René de Clercq	130.39523809523777
Mieke Trommelen	104.00912698412725
Paul Haimon	126.34642857142829
Sybren Polet	117.60198412698436
Joep Nicolas	138.4773809523807
Sybrandus Johannes Fockema Andreae	121.1801587301588
C.W. Roldanus	122.76349206349212
W.Gs Hellinga	99.87936507936546
H. Schröder	126.34642857142829
Johan Huizinga	128.91071428571416
W. Luyten	0.0
H.M. Hermkens	120.6003968253969
P.J. Nienaber	127.34642857142829
A.S.C. Wallis	126.34642857142829
Jozef D. Janssens	0.0
K.J. Popma	75.00241702741714
M. Dufraing	108.37023809523815
Karel van het Reve	88.15396825396859
W.H. Staverman	126.3464285714283
Em. Peeters	0.0
