Author	Harmonic	Closeness	Degree	Betweenness	In-degree	Out-degree	Eigenvector
Juul Horn	1741.4261904761445	0.22148918673327037	0.00026752273943285177	0.0	0.00026752273943285177	0.0	0.0006805521699368283
Liane Bruylants	1978.7976190475263	0.2508082304344362	0.0008025682182985553	0.0	0.0008025682182985553	0.0	0.003569034224521346
Will van Peer	1865.7261904761524	0.22933137820660904	0.020599250936329586	0.000922750698465004	0.006153023006955591	0.014446227929373995	0.003650755411069401
A.J. Goblet (d'Alviella)	1071.574675324686	0.13908804110951078	0.00026752273943285177	0.0	0.00013376136971642589	0.00013376136971642589	2.70448334574982e-07
Emmeken van der Heijden	1381.4742063492452	0.17634577633051401	0.0008025682182985553	0.0	0.00040128410914927763	0.00040128410914927763	5.6396836841006234e-05
C. Binnerts	1759.2404761904158	0.22344217752743667	0.00013376136971642589	0.0	0.00013376136971642589	0.0	0.0007331179003879008
Herman François Waller	1575.5341269841476	0.20104997503338862	0.0016051364365971105	0.0	0.0005350454788657035	0.001070090957731407	0.00014560624949562547
Albert Helman	2530.069047619033	0.30731603126604196	0.03959336543606206	0.0028559799621928296	0.02701979668271803	0.012573568753344033	0.050024237000107954
Pliet van Lishout	1988.5119047618234	0.24905706799285862	0.0017388978063135364	1.6888174319176232e-06	0.0016051364365971105	0.00013376136971642589	0.009632919709022613
A.J. Schneiders	2212.9714285713903	0.27592011878290557	0.010968432316746922	0.00021405177113288396	0.004414125200642054	0.0065543071161048684	0.011022077707672898
W.G. Noordegraaf	1909.8023809523131	0.23919222770532436	0.0030765115034777956	0.0001106193562973049	0.0005350454788657035	0.002541466024612092	0.002783659002117434
Irene de Jong	1783.809523809505	0.2192445025329705	0.008560727661851257	5.3611744908054564e-05	0.004146602461209203	0.004414125200642054	0.0036881440018923326
J. Eggens jr.	1618.2833333333172	0.20694586872938245	0.0017388978063135364	0.0	0.0005350454788657035	0.001203852327447833	0.00043184127650739643
Maria van der Steen	1692.8547619047292	0.21490991849777158	0.0005350454788657035	0.0	0.0005350454788657035	0.0	0.0004696038410328607
B.W. Schaper	1981.7880952380115	0.24686646109796892	0.007089352594970572	0.0005169077512306298	0.003477795612627073	0.003611556982343499	0.004196694855118913
Edgar Allan Poe	2433.202380952357	0.29918223527165877	0.015783841626538255	0.00030093474182134696	0.015650080256821828	0.00013376136971642589	0.03302816232201372
Bart van der Sijde	1512.7603174603335	0.1933536044532002	0.0008025682182985553	6.52777417843839e-08	0.00040128410914927763	0.00040128410914927763	6.922737474200255e-05
Louis de Bourbon	2196.778571428518	0.2721201942692865	0.010968432316746922	0.00032156162504605234	0.007891920813269128	0.0030765115034777956	0.015503542951039758
J.H. de Ridder	1703.0571428571097	0.21589082149252037	0.001337613697164259	1.0140336698422167e-05	0.0006688068485821295	0.0006688068485821295	0.000462713317393618
M. Dufraing	1761.8464285713915	0.22021210264668145	0.011637239165329051	2.9143361874709203e-05	0.0040128410914927765	0.007624398073836276	0.009236329810605425
F.C. Dominicus	2001.8904761903962	0.24917013299219967	0.003477795612627073	6.8922622457511685e-06	0.00227394328517924	0.001203852327447833	0.005099360525325154
H. Rogaar	1647.840476190461	0.20957773161503357	0.00013376136971642589	0.0	0.00013376136971642589	0.0	0.00029424093678856873
Hans Bennis	1853.076190476164	0.22703363758481288	0.012707330123060459	0.00016006783942707406	0.006688068485821294	0.006019261637239165	0.004434889254961014
D.L. Daalder	1941.499999999939	0.24163762102286154	0.0017388978063135364	0.0001538990127521437	0.0016051364365971105	0.00013376136971642589	0.003873612862420058
Piet Calis	2139.1785714285147	0.26223909786963734	0.027153558052434454	0.002913380413343234	0.008828250401284108	0.018325307651150348	0.010259065608666858
Bernadette van der Heijden	1575.732936507927	0.19896076552965838	0.002140181915462814	2.5275817955614876e-07	0.0006688068485821295	0.0014713750668806848	0.0003799860052926718
Bram Jagersma	1435.13253968256	0.1816369277309295	0.005216693418940609	4.677615388836169e-08	0.0014713750668806848	0.0037453183520599247	0.00012561210980693824
Ursy M. Lichtveld	1920.254761904678	0.24124818746680793	0.002407704654895666	0.00023311733075202903	0.0016051364365971105	0.0008025682182985553	0.0029270254673989444
