Author	Degree	In-degree	Out-degree	Betweenness	Closeness	Harmonic	Eigenvector	Clustering	Square_Clustering
Georges Adé	0.007651006711409395	0.004026845637583892	0.003624161073825503	0.00029964265089941827	0.2368202468376906	1905.3595238094638	0.004772165029397748	0.1721105527638191	0.02754869275311458
Julien Vandiest	0.0009395973154362415	0.0005369127516778523	0.0004026845637583892	7.947169640862851e-07	0.21959850244315549	1727.830952380907	0.000673373034393459	0.14285714285714285	0.0
Monika van Paemel	0.008456375838926174	0.006174496644295302	0.0022818791946308723	0.0027862410534468533	0.22682783135930704	1843.0166666666266	0.0033187875319301533	0.21266735324407826	0.03992925651316237
Herman de Coninck	0.008993288590604026	0.006711409395973153	0.0022818791946308723	0.0001989833953663449	0.24866547242038198	2016.2714285713644	0.00675175231111634	0.18758495695514274	0.02446136400453588
Lucienne Stassaert	0.0022818791946308723	0.0017449664429530199	0.0005369127516778523	5.715789187828818e-07	0.20889003966549272	1659.9357142856916	0.0009601813101305786	0.4264705882352941	0.015873015873015872
Mark Verstockt	0.001879194630872483	0.0006711409395973154	0.0012080536912751677	0.00015698331004741314	0.18441572130004052	1438.817460317486	8.119240427307439e-05	0.14367816091954022	0.02127659574468085
Claude Korban	0.00026845637583892615	0.00026845637583892615	0.0	0.0	0.2183967797695051	1715.7928571428074	0.000997764152470918	0.0	0.0
Nic van Bruggen	0.0022818791946308723	0.0022818791946308723	0.0	0.0	0.23835257144295463	1878.45714285707	0.00224984795965938	0.3125	0.0
Michel Bartosik	0.003892617449664429	0.001476510067114094	0.0024161073825503354	6.084689316498707e-06	0.20985782844692097	1663.6095238094942	0.0009613129365407519	0.22660098522167488	0.026245614035087718
Frans Denissen	0.001476510067114094	0.001476510067114094	0.0	0.0	0.23681845936388415	1879.583333333268	0.003156201926415223	0.2636363636363636	0.0
Wim van Rooy	0.0012080536912751677	0.0005369127516778523	0.0006711409395973154	9.525321434146151e-07	0.2072791762605896	1637.7619047618794	0.0006966576188674273	0.16666666666666666	0.0
Piet Meeuse	0.002953020134228188	0.0016107382550335568	0.0013422818791946308	0.00026678506159180204	0.2313437926286851	1831.0642857142223	0.001415245961837078	0.17105263157894737	0.008974358974358974
Michel Oukhow	0.002147651006711409	0.0006711409395973154	0.001476510067114094	1.1527581070186175e-06	0.20583144018707344	1626.9523809523564	0.0006685139741717978	0.2815126050420168	0.04408260524225576
Hugo Brems	0.14818791946308724	0.018657718120805366	0.12953020134228185	0.0329035132324255	0.26820152625691746	2202.2809523809265	0.020731715639721367	0.030972702692935686	0.019537674170378296
Fr. Daems	0.005503355704697986	0.002953020134228188	0.0025503355704697985	2.259725246408277e-05	0.23022240288607346	1863.1357142856748	0.00476753311798547	0.3803680981595092	0.06520227063654109
W.P. Gerritsen	0.1370469798657718	0.034093959731543624	0.10295302013422818	0.013630156441429403	0.2685991236438903	2280.9214285714165	0.03467594946657084	0.06021050528568437	0.02714735373614887
Mark Insingel	0.0057718120805369125	0.004563758389261745	0.0012080536912751677	9.370643203308198e-06	0.25243799158502367	2020.9642857142146	0.006587355978963022	0.30210643015521066	0.05076227173730943
Stefaan van den Bremt	0.0032214765100671136	0.001879194630872483	0.0013422818791946308	1.1576034574560656e-05	0.2140729843745044	1701.3488095237733	0.0012576069786140295	0.2509090909090909	0.017481867212200113
Jack Vance	0.00026845637583892615	0.0	0.00026845637583892615	0.0	0.0	0.0	9.056303693276773e-101	0.0	0.0
