	0
H. Duits	4
Jan Koopmans	1
Jan L. Walch	1
Adriaan Loosjes	1
Hendrik van der Wal	1
Edmond van Offel	1
Frits Hopman	1
Jan J. Zeldenthuis	1
Johann Wolfgang von Goethe	3
F.H. Fischer	1
J. van Oudshoorn	1
Jo de Wit	1
J. Saks	6
Karel Wasch	1
Jan van Lumey	19
Heinrich von Kleist	19
Alie Smeding	1
Nico Rost	1
Max Brod	1
Horatius	12
Jaap van Gelderen	12
Elisabeth Zernike	1
S.G. de Vries	1
G.J.W. Koolemans Beijnen	1
P.J. Blok	1
Louis D. Petit	1
G.M. Boissevain	1
J.H. Groenewegen	1
P.H. van der Kemp	1
L. Scharpé	1
J. Herderscheê	1
G.J. Boekenoogen	1
P.C. Molhuysen	1
J.E. Heeres	1
R.W.P. de Vries	1
J.C. Breen	1
J.J. Salverda de Grave	1
J.S. van Veen	1
H.L. Drucker	1
J.H. van den Bosch	1
J.H. Abendanon	1
C.P. Burger	1
M.A. Perk	1
J.A.N. Knuttel	1
J.H. Holwerda	1
A.A. Verdenius	1
G.A. Nauta	1
H. van Strien	1
N. van der Laan	1
A. Jager	1
A.L.G. Bosboom-Toussaint	1
C.C. van de Graft	1
G.J. Nieuwenhuis	1
H.T. Damsté	6
A.A. van Rijnbach	1
S.W.F. Margadant	1
M.E. Kronenberg	1
F.W. Stapel	1
F. Oudschans Dentz	1
J. Aleida Nijland	1
K.H. Heeroma	6
F.P. Huygens	5
J. Leenen	1
L. Grootaers	6
Frank Baur	6
C.C. de Bruin	6
W.H. Beuken	6
A.C. Bouman	1
M. Schönfeld	6
Jan Ploeger	1
A.P. Grové	1
P.C. Schoonees	1
S.P.E. Boshoff	1
P.J. Nienaber	1
Ernst van Heerden	1
D.J. Opperman	1
G.S. Nienaber	1
H.J.J.M. van der Merwe	1
Th. Weevers	6
L.C. Michels	6
Jo Daan	4
K. Fokkema	4
Cornelis Rijnsdorp	5
Jacoba M. Vreugdenhil	5
Dingeman van der Stoep	5
P.J. Risseeuw	5
H.T.J. Miedema	4
J.H. Brouwer	6
A. Ampe	2
B. van den Berg	6
Marinel Gerritsen	4
G.A. van Es	4
Nop Maas	9
L. Strengholt	4
Wim Vermeer	4
M.F. Fresco	9
F. van Elmbt	3
Peter J.A. Nissen	10
Leo Herberghs	10
W.F. Jonckheere	4
J.C. Kannemeyer	4
Maarten Klein	4
F.P. van Oostrom	4
Arie-Jan Gelderblom	4
J.A. Rispens	1
Jef Suys	5
Hendrik Conscience	6
P. Spigt	5
Tadeusz Rózewicz	10
Marc Andries	5
T. Haan	5
G.J.M. van het Reve	9
Frans Bastiaanse	1
Nine van der Schaaf	1
E. Rijpma	1
H. Robbers	1
B.H. Peteri	1
H.H.J. Maas	1
Jacob Geel	1
Leo Goemans	1
Leo van Puyvelde	1
Chr. Stapelkamp	1
W. van Schothorst	1
Daan van der Zee	1
B. Faddegon	1
J.A. vor der Hake	1
F.P.H. Prick van Wely	1
Simon Gorter	1
H. Logeman	1
K.H. de Raaf	1
L.J.M. Feber	1
L.A. te Winkel	1
Frans Verschoren	1
G.F. Haspels	1
H.J.E. Endepols	1
A.S.C. Wallis	1
William Davids	1
J. Mathijs Acket	6
G.J. Hoogewerff	1
K. ter Laan	6
J.J.A.A. Frantzen	1
J.H. Kern	1
Ary Delen	1
G. Engels	1
J.D.C. van Dokkum	1
C.C. Uhlenbeck	1
J.L. Horsten	1
D.A. Stracke	1
A. Stracke	1
Adolf Herckenrath	1
A.C.S. de Koe	1
E.F. Kossmann	1
Laurens van der Waals	1
Alfons de Cock	1
François Pauwels	1
G. Bolkestein	1
Ph.J. Simons	1
J. Petri	1
H.W.J. Kroes	1
Henri van Booven	1
Herman Middendorp	1
Arnold Sauwen	1
H.H. Knippenberg	1
J. Wille	1
R. Foncke	1
Daan Boens	1
Firmin van Hecke	1
Jo van Ammers-Küller	1
A. Wapenaar	5
Rinke Tolman	1
J. de Jong	4
G.E. Opstelten	1
K. Kooiman	1
Wilma	4
E.C. Pienaar	1
Willem van Doorn	1
A. van Collem	1
J.F. Willems	1
Ernst Groenevelt	1
Lode Monteyne	1
A. Goslinga	1
J.G.M. Moormann	1
Israël Querido	1
Antoon Thiry	1
J. Mansion	1
A.W.C. Zuidema	1
Maurits de Meyer	1
J.J. le Roux	1
H.W.J.M. Keuls	1
G.A. Brands	1
Willem van Eeghem	1
Kees Meekel	1
Fritz Francken	1
Martien Beversluis	1
A. Carnoy	6
Franz de Backer	1
D.B. Bosman	1
J.A. van Praag	1
Paul de Keyser	1
A.W. Grauls	1
P.H. Greiner	1
Alice Nahon	1
L.P.H. Eykman	1
J.H. Scholte	1
Jan Gessler	1
P.J.J. Diermanse	1
F.C. Dominicus	1
Gaston Burssens	1
W.L.M.E. van Leeuwen	1
H. Gerversman	1
Henrik Scholte	1
Anton Reichling	1
H. Schröder	1
Joost Hiddes Halbertsma	1
G. Colmjon	1
K.H.E. de Jong	1
Jef Notermans	6
R. Pennink	1
Oscar Dambre	6
A.J. Schneiders	1
L.L. Hammerich	1
J.C. van der Does	1
L.J. Rogier	1
Jan H. de Groot	1
F.E.J. Malherbe	1
W. van Ravesteyn	1
Jop Pollmann	1
J.L. Pauwels	6
H.F. Wijnman	1
Johan Fabricius	1
Leo van Breen	1
C. de Boer	1
Leo Picard	1
C.M. van den Heever	1
H. de Buck	1
A.C. de Jong	1
J.F.J. van Tol	1
Marianne Philips	1
Is.P. de Vooys	9
A.P. de Bont	1
B.H. Erné	6
J.F. Vanderheyden	1
F.K.H. Kossmann	6
Eric van der Steen	1
F.G.A. Stemvers	1
T.J. Haarhoff	1
G. Karsten	1
George Meir	1
H.L. Bezoen	1
C.L. Thijssen-Schoute	1
A.J. de Jong	1
G.I. Lieftinck	6
G. Kazemier	4
Prosper Arents	1
Willem Pée	6
L.M. van Dis	1
H.A. Höweler	1
J.H.J. Willems	1
Clara Eggink	1
G. Knop	1
Max Kijzer	1
J.E. van der Laan	1
Jeanne van Schaik-Willing	1
J. Naarding	6
H.A. Mulder	1
Anne de Vries	2
W. van den Ent	1
Paul Haimon	1
Uys Krige	1
Willy Dols	1
A.R. Hol	1
J.H. van Lessen	1
I.D. du Plessis	1
Barend de Goede	1
H. Bonger	1
Robert Franquinet	1
F.W. van Heerikhuizen	1
P. Polman	1
J.D.M. Cornelissen	1
F. de Tollenaere	4
W. Roukens	1
Gerard den Brabander	1
J. Karsemeijer	1
Adriaan van der Veen	4
J.P. van Praag	1
N.P. van Wyk Louw	6
A. Marja	1
R.W. Zandvoort	1
Max Dendermonde	1
P.C. Boeren	1
H. Draye	6
G.J. Uitman	1
K. Roelandts	6
K.C. Peeters	1
Gerrit Kamphuis	6
Gilbert Degroote	6
S.A. Louw	1
J. Noë	2
S.J. van der Molen	1
Maartje Draak	6
J.B. Drewes	6
Sjoerd Leiker	1
F. Veenstra	4
Henri A. Ett	1
G. Jo Steenbergen	1
G.W. Huygens	1
Jan Boon	1
Jan Spierdijk	1
