Author	DOD
M.A. Beek	31 juli 1987
Max B. Teipe	3 februari 1969
Hendrik Smilde	20ste eeuw
K.Ph. Bernet Kempers	30 september 1974
J.J.M. Timmers	1996
I.Q. van Regteren Altena	1980
E. Schoenmaeckers	2002
P. Julius O.F.M. Cap.	20ste eeuw
Dirk de Jong	31 mei 1974
Hans Edinga	24 juli 1980
Jo Daan	11 juni 2006
M.A.P. Meilink-Roelofsz	1988
H.W. Meihuizen	26 november 1983
Jean-Marie Gantois	28 mei 1968
A. Dirkzwager	
J. Bosch	14 juni 2001
R. Feenstra	2 maart 2013
H.Th. Oostendorp	11 april 1989
Ina Willekes McDonald	26 februari 1979
H.M. Mensonides	1978
W.A. Nolet	14 augustus 1978
Annie Versprille	28 december 1995
D.A. Tamminga	5 april 2002
H. Entjes	8 mei 2006
Willem Pée	20 mei 1986
Daam Fockema	9 februari 1874
R.A.D. Renting	10 juni 2011
J.U. Terpstra	15 juni 2004
Pieter Obbema	april 2015
Isabella Henriëtte van Eeghen	26 november 1996
Dina van Berlaer-Hellemans	1994
Hilda van Assche	31 december 2009
G.W. Huygens	5 september 2002
H.T.J. Miedema	8 november 2008
Herman Balthazar	
J.F. Heijbroek	
W.F. Lichtenauer	5 februari 1987
A.F. Mellink	22 september 1987
S.A. Louw	16 augustus 1979
F.J. Snijman	5 september 1994
Renaat Merecy	8 mei 1997
H. Bonger	26 februari 1999
Johan van der Woude	7 februari 1979
J.A. Bornewasser	22 april 2010
Horst Gerson	10 juni 1978
Walter Thys	26 oktober 2015
G.A. van Riemsdijk	1993
P. Scherft	19 mei 2009
M.H. Schenkeveld	
W.J. Formsma	19 maart 1999
Anna Jacoba Böeseken	28 juni 1997
Ernst van Heerden	30 september 1997
F.A. Holleman	18 juli 1988
Clasina Isings	
Jan Cartens	2007
Tjaard W.R. de Haan	22 november 1983
Kamiel Cooremans	
A. Ampe	28 juli 2004
H.J. Prakke	14 december 1992
Adriaan Verhulst	17 november 2002
B.A. Sijes	12 juli 1981
Bernard Kemp	2 november 1980
Inez van Dullemen	
A. van Elslander	17 juni 1999
D.W. Bloemena	8 juli 1975
J.Th. de Smidt	
S.B.J. Zilverberg	1 december 2005
T.T. Cloete	29 juli 2015
D. Nauta	22 april 1994
H. Berkhof	17 december 1995
Harm Tjalling Waterbolk	
Gerda van Woudenberg	1995
W.P. Blockmans	
Frans van Isacker	27 oktober 2000
F.R.J. Knetsch	4 september 2006
R.L.J. Bromberg	
Sjeng Tans	23 februari 1993
R. Breugelmans	5 februari 2010
Margreet Bruijn	2010
Lyckle de Vries	
J.W. Oerlemans	20 maart 2011
Antonie Maria Luyendijk-Elshout	6 april 2012
W.G. Noordegraaf	1992
Jan den Tex	25 november 1984
S.P. Wolfs	
N. Cramer	1997
W.A. Ornée	12 april 1990
Helen A. van den Berg-Noë	12 juli 2001
H. Hoetink	2005
Johan Somerwil	13 januari 2009
Chris Leeflang	30 juni 1993
José de Mûelenaere	2002
Oscar de Wit	
H.K. s' Jacob	
Kåre Langvik-Johannessen	
E.J. van den Broecke-de Man	16 september 1998
Annie Femmina Dekker	
A. Gruijs	1996
P.J. Koets	12 mei 1995
Klaas de Vries	1999
P.P.J. van Caspel	22 december 2005
W.J. van Hoboken	14 juli 1992
Johan Ballegeer	1 januari 2006
J.G. Bruggeman	9 april 1993
Elisabeth Keesing	17 april 2003
Caroline Rehorst-de Westenholz	
A.Th. van Deursen	21 november 2011
Nop Maas	
Bernt Luger	1996
Rob Tempelaars	
P. J. van Leeuwen	1992
C. Pama	23 oktober 1994
Klaas Iwema	
Willem de Blécourt	
C.C. de Bruin	9 oktober 1988
Martin Ros	
Ineke Bulte	
S.L. Verheus	12 april 2012
F. van der Rhee	
Hendrik van Dijk	
F.C. Fensham	26 juli 1989
J.J. Huizinga	
Gerrit Jan Zwier	
Marita Mathijsen	
Frank Ligtvoet	
M. Stapert-Eggen	
L. Strengholt	26 november 1989
Majorie Bottenheim	2 augustus 1983
Ares Koopman	
Dick E.H. de Boer	
P.P.V. van Moorsel	1999
Hans Werkman	
Benno Barnard	
Gerard J. Hooykaas	
Jos Steegstra	2002
A.E. Kersten	
Ada Deprez	17 juli 2015
J.E. Bogaers	1996
E.P. de Booy	2007
Hans Reeser	2 september 1993
Anne Wadman	6 februari 1997
A. Leyns	
Maxim P.A.M. Kerkhof	
Rogi Wieg	15 juli 2015
F.P. van Oostrom	
L.J. de Ruiter	18 mei 2008
R.H. Pheiffer	
Gerrit Valk	
F. van Elmbt	
Jan Brokken	
Willem Frijhoff	
J. Roelevink	
A.J.M. Linmans	
F.A. Brekelmans	6 januari 1995
Mart Janssonius	13 januari 1999
Willem Wilmink	2 augustus 2003
Wim de Bie	
Peter J.A. Nissen	
J.J.M. van Gent	
Hanna Blok	
J.C. Bedaux	
Willem G. van Maanen	17 augustus 2012
Joke Linders	
M.G. Buist	3 september 1998
Johanna J.M. Meijers	
W.R.H. Koops	
Ph.H. Breuker	
S.N. Bakker	
M.C.A. van der Heijden	
Joop van den Berg	25 januari 2014
Joost van der Vleuten	
P.B.M. Blaas	
Edwin Rabbie	
Peter van Beek	
Wilhelmina Christina Pieterse	
S. Groenveld	
Wolther Kassies	
Ton Harmsen	
Lieve Joris	
N.F. Streekstra	
Jaap de Moor	
C.G. Santing	
G.H.M. Posthumus Meyjes	24 juli 2008
Ingrid Moerman	
J. Gerritsen	24 mei 2013
Frans Claes	30 november 2006
H.J.M. Nellen	
Kees de Bakker	
Auke Jelsma	
K.J. Bostoen	15 december 2016
C. Augustijn	1 januari 2008
A. de Groot	
Marijke Meijer Drees	
B.P.M. Dongelmans	
Jan-Wouter Zwart	
Ernestine van der Wall	
G.R. Zondergeld	
Willem Mooijman	23 mei 2016
A.E.M. Janssen	
Diederik Grit	
Hans Renders	
Jeanne Roos	30 juni 2001
Wim J. Simons	29 mei 2005
Bart Jan Spruyt	
E.P. Meijering	
Frank Willaert	
Theo Verbeek	
A.M.L. van Wieringen	
G.W.B. Borrie	27 december 2016
R.C.J. van Maanen	
Geert Mak	
Otto S. Lankhorst	
Rob van de Schoor	
A.D.A. Monna	
J. de Groot	
Ann Van Sevenant	
Eric M. Moormann	
Joan Hemels	
J.T. Bremer	
Marten Toonder	27 juli 2005
Robert Lemm	
Arthur Japin	
Siegfried Huigen	
Arie-Jan Gelderblom	
Cees Fasseur	13 maart 2016
C. Moeyaert	
Marcus de Schepper	
Th.M. van Leeuwen	
A. Maljaars	
Fred van Leeuwen	
Robert van Amerongen	12 mei 2014
Els Stronks	
Sal Tas	19 juli 1976
Johan Valkhoff	21 juli 1975
J.P.B. Josselin de Jong	1964
Joseph Campbell	
Louk E. Roest Crollius-van Doorn	
Tjoe-Som Tjan	2 januari 1969
W. Cahn	
E. Lopes Cardozo	
S. Mok	
R. Hoetink	
A.J.W. Kaas	
J.C. van Broekhuizen	
M. Coutinho	1992
Hannah van Wieringen	
G.H. Slotemaker de Bruine	27 december 1976
Dirk Jorritsma	2001
Arnold Jan Pieter Tammes	21 augustus 1987
Max Dendermonde	24 maart 2004
Jef Suys	22 december 1956
Henri Francois Técoz	
J. in 't Veld	
H.J. Hellema	
H. van Wieringen	
Hans Redeker	1992
Raden Mas Djojowirono Soenito	
Gerard Reve	8 april 2006
Henriëtte Mooy	1974
A.C. Willink	19 oktober 1983
Til Brugman	24 juli 1958
Emile Gobée	7 december 1954
Joke Moeljono	1998
Marijn van Dantzig	
E.L. Levie	
R. Marsman	
Montanus	
S. Davids	
Jean Paul Sartre	15 april 1980
Henriette Albach-Tielrooy	2001
Ramón Gómez de la Serna	1963
Johannes de Graaf	1991
H. François	
A.S. de Leeuw	4 augustus 1942
L. de Jong	15 maart 2005
Soejitno Mangoenkoesoemo	1947
J.C.M. Kruisinga	
J.J. Poelhekke	25 augustus 1985
U. Huber Noodt	1974
G.A. Watermeyer	1972
M. Sybr. Koops	
Lilo Linke	27 april 1963
F.R.J. Verhoeven	1987
Louise Moor	20ste eeuw
Harriët Freezer	25 december 1977
G. van den Bergh	3 oktober 1966
Sjoerd van der Schaaf	8 juni 2006
Gerrit Pleiter	
Nicolaas Wilhelmus Posthumus	18 april 1960
Paul Catz	20ste eeuw
J.F. Engers	
H. Vos	
Cornelia Brinkman	1988
J.M.C. Bouvy	31 augustus 1960
Fazil Bey	1810
Amr il Kaïs	6de eeuw
N. Krusemeyer-van Iersel	
Ph.C. van der Pant	
Joseph Leftwich	28 februari 1983
J.M.E.M.A. Zonnenberg	
Noegroho	
Thomas Mann	12 augustus 1955
Norbert Loeser	5 mei 1958
Marcel Minnaert	26 oktober 1970
Bart Landheer	18 december 1989
Luuc Kooijmans	
Hieke de Jong	
F.M.G. de Feyfer	
Pearl S. Buck	6 maart 1973
W.H. van Dobben	19 mei 1999
Konstantínos Chatzópoulos	1920
M. Blijstra-van der Meulen	1988
J.L. Snethlage	1983
Hendrik de Waard	
Max Brod	1968
D.C. van der Poel	
Margarita Nelken	8 maart 1968
Libbe van der Wal	27 april 1973
P.J. Stolk	
Pieter Minderhout	
T.H. Thung	
Bernard van Delfshaven	
A. Lemair	
Matthijs Bokhorst	8 juli 1982
W.F. Heinemeijer	18 juli 1999
Joseph Ismael	
Jan Slagter	6 augustus 1958
B. Sluimers	
J. Haak	1970
Anthon van der Horst	Hilversum 1965
J.M. van Veen	
C.A. van Peursen	1996
E. Meyer-Brouwer	
Sk. Muljadi	
Chairil Anwar	1949
P. Sengodjo	
J.H. Willems	
Albert van Hoogenbemt	17 januari 1964
H. Nijhoff	
Strátis Myriwílis	19 juli 1969
Netty van Kempen	
Hazil	
Hermann Kesten	
Marion Coulon	
Rico Bulthuis	4 oktober 2009
G.M.S. Kranenburg Haan-Schmidt	
J. Landsheer	
Olaf J. de Landell	26 april 1989
H. Dommisse	
Arthur Constandse	
Damida Reynders	
J. Buzeman	
E.H.F. van der Lely	
A.F. Coenen	
R. Cointre	
S. de Wolff	
A. van Marle	
Jac. de Graaf	
Jean Leclercq	
Willem Hussem	21 juli 1974
Asrul Sani	2004
L.A.J. Torfs	
Coert Poort	18 augustus 2004
Fr. de Jong Edz.	1989
Klaas van der Geest	10 oktober 1964
L. v.d. Land	
Andries Sörensen	
Rogier van den Gouden	
J.D.P. Warners	1991
G.J. Renes	
J. de Boer	
Frits van Deventer	
Johan de Vries	
Rennie Elisabeth Veenstra	
J.W.E. Riemens	
A.M. Schiltmeyer	
P.J. de Ridder	
Jan van Zutphen	
Georgette Swaenepoel	
Willem de Geus	1967
Renee	
H.H.W. van Eijk	
J.P. Mazure	3 november 1990
Johan Betzema	
S. Kleerekoper	16 januari 1970
Pablo Picasso	8 april 1973
P. Hoekstra	
Jan Fekkes	
F. van Sandwijk	
Pramudya Ananta Tur	30 april 2006
Guus Vleugel	12 augustus 1998
Bertien Buyl	
Jórgos Theotokás	30 oktober 1966
Basuki Gunawan	2014
Jan Pedroli	
Gila Dotan	
Johan van der Bol	
Cor Stutvoet	1 november 1990
Lorenz de Swaan	
Dirk Jan van der Laan	februari 1829
Henk Holtrop	
Christine Meyling	29 maart 1983
H. Jansen	
Sietse van der Meulen	
E. Brongersma	
H. Meyers	
Tone Brulin	15 maart 2019
P. Valkenburgh	
Joris Vriamont	28 februari 1961
G. Mannoury	30 januari 1956
Ti Woe	6de eeuw
Po Tsjü I	846
Dzjen Tse Loeng	1647
Soendoro Tirtosiwojo	
Anton Jonckbloet	
Wim Kan	1983
Soedjatmoko	21 december 1989
C.L. Kruithof	
F. van der Kooy	
Ichiro Ando	
Jan Pluvier	
E. Rijgersberg	
Elizabeth van Stappen	
Insider	
L.F.A. Granberg	
I.F.M. Salim	
Remy C. van de Kerckhove	2 januari 1958
W. Scheffer	
H.A. Tolhoek	2007
L. Sluimers	
Sake Helder	2 oktober 1983
A.K. Rottiers	2006
T. Noordenbos-de Klerk	
Albert Kok	
Apie Prins	1 juli 1958
Herman Uyttersprot	12 november 1967
Herman van Poland	
J.C. Kamerbeek	1998
Elisabeth Siriks	
P.E.G. van Heyningen	
Tine Leiker-Kooijmans	24 juni 2008
Joh. Betzema	
Carlo Schmid	11 december 1979
Jaap Kruithof	
J.C. van Leur	1942
Leo Peters	
Gabriel Celaya	18 april 1991
Garsiasol	
U Win Tin	21 april 2014
Camille Huysmans	28 februari 1968
Luc van den Briele	
Joke Pluvier-de Vries	
T.W.L. Scheltema	
S.J. Suys-Reitsma	
Hugo Maron	
J.A. van der Vlis	
F.W. Michels	
H.P. Plantenga	
Helma Wolf-Catz	22 januari 1979
Hans Andreas Cornelius Roem	
W.C. Feltkamp	
E.F. Tijdens	11 mei 1973
J.A. Vooren	
Loe Hsuun	
Bergman	12 januari 2009
Johan van Os	
Swan-Liat Kwee	2006
Manja Croiset	
J. Bronowski	
Henk M. Beumer	
Rudo Durant	
John den Admirant	
Hans Reddingius	
Ronny van Cleef	29 januari 2008
Ellen Warmond	28 juni 2011
Eugène James	
Friederike Granberg	
Leopold Flam	29 september 1995
P. Hoogenboom	
Henk van Maurik	16 januari 1996
A.J. Cnoop Koopmans	
Pszisko Jacobs	26 april 1999
J.H.L. Laps	
H. Furstner	
A. Wildeman	
Charles Meeking	
Naoya Shiga	21 oktober 1971
Maria van der Steen	1987
H.P. Jullien	
C. de Groot	
Germaine Tillion	18 april 2008
Birage Diop	25 november 1989
Léopold Sédar Senghor	20 december 2001
A.H. Wertheim-Gijse Weenink	16 mei 1988
Johan Achterhof	
G. van Geffen	
T. Haan	
A.K. Datta	
Paul Citroen	13 maart 1983
Gerrit Rietveld	25 juni 1964
Willem Andriessen	29 maart 1964
Jan Schepens	16 juli 1994
Paul Groenendaal	
Jacques Dewaele	
Wim Gijsen	1990
C. Ch. Mout	
Katsumi Tanaka	
Shigeharu Nakanó	24 augustus 1979
José María de Semprún Gurrea	1966
Miguel Hernández	28 maart 1942
Blas de Otero	29 juni 1979
Ramón Lugris	2 december 2015
Luis Araquistain	8 augustus 1959
Prosper de Smet	13 september 2005
Emmy Kerkhoff	
S.H. Meijler	
Derk de Vries	
Arnold Jan d' Ailly	24 november 1967
Margaretha Ferguson	7/8 mei 1992
Lieuwe Hornstra	1990
Zbigniew Ogonowski	
John Drager	
Adri Laan	
Leo Rikmenspoel	11 januari 1976
Jan Knappert	30 mei 2005
N.D. Lammers van Toorenburg	
A. Prins	
L.W.C. Keuchenius	
F.G. Steck	
L.A.J.W. Sloet	10 december 1890
Wanda Maya	
Henriëtte Boas	27 juni 2001
L.C. Biegel	
K.L. Roskam	
L.O. Schuman	
Cor de Groot	
R.C. Winter	
A. Wachter	
D. Elema	1682
C.J. Huizinga	
Cora Vreede - de Stuers	
Jan Janze	
H.H. van Kol	22 augustus 1925
Ingrid Jonker	19 juli 1965
Fred van Wijck	
Ank Steenis	
H. van der Ploeg	
Leo Apostel	1995
Wessel Scheffer	1904
P. Glazema	
L. Kolakowski	Oxford 2009
S.H. Delhaas	
Maria de Groot	
H.G. Surie	
F. Roels	1962
G.J.P. Cammelbeeck	6 juni 1997
A. de Roos	
Ben Groeneveld	14 februari 1962
J.B. Bakema	
Marcel van Matena	
Oscar Mohr	3 mei 1952
B.C. van Houten	
Paul van der Loeff	
Jac. Wolsink-Schouten	
E.J. Spliethoff	
C.W. Rietdijk	
Mark Braet	februari 2003
Pandelis Prewelakis	15 maart 1986
E.B. Mayer-Swart	1998
P.M. Croiset	
Eveline van Deth	
Caroline F. Ware	
J. Dhont	
Gerard Heederik	
S. Na'aman	
Anna Muntjewerf	
P. Jansen Schoonhoven	
Margreet Koekebakker	
Fries de Vries	2008
Reinout Vreijling	25 mei 2007
Inne de Jong	27 maart 1975
J.J.P. Oud	5 april 1963
Roger Serras	1 juni 1978
Michele Ondei	
Steven Membrecht	
Heinz Neudecker	
W. de Vries	
Daniël van Ryssel	
W.J. Jong	
A.J. Vermeersch	
D. van der Meulen	
Rafael Alberti	27 oktober 1999
Sippora Stibbe	
Clem Schouwenaars	10 september 1993
Marc Andries	
Piet Sterckx	juni 1987
Lieuwe H. Bouma	18 augustus 2004
R. Cordes	
Jozef Eyckmans	
G. Th. Ruttenberg	6 november (begraven) 1557
Erik Stinus	13 november 2009
J. ten Brink	
Jan Vanhaelen	
Ward Ruyslinck	3 oktober 2014
Nic van Bruggen	14 juli 1991
Carla Walschap	
Roger Binnemans	
J. Kreykamp	
Maxim de Winter	
Fedde Schurer	19 maart 1968
H. Wouters	
Krine Boelens	1995
Fem Rutke	19 november 1991
Inge Tielman	27 december 2015
Jeroen Brouwers	
Georges Fukkink	
R.V. Leembruggen	
Clarissa Jacobi	4 september 1998
Loek den Hoef	
Hugo Raes	23 september 2013
D.A.L. Schröder	
G.J.M. van het Reve	11 februari 1975
Werner Cranshoff	
Jerzy Holzer	24 januari 2015
Malgorzata Hillar	30 mei 1995
Jerzy Sito	4 januari 2011
Jan Balicki	
Tadeusz Rózewicz	
M. van Hulten	
J. P. Schuyf	
Mieczyslaw Jastrun	22 februari 1983
Kazimierz Gromski	
Bob Carlier	
H.Th. Chabot	1970
J. van Wijk	
Julien Vandiest	
A.J. Koejemans	1982
J. Dommisse	
H.J. van der Mei	
N. van Hees	
Joop van Tijn	2 september 1997
W. Langeveld	
Roger van de Velde	30 mei 1970
N.C. Clegg-Bruinwold Riedel	
Jan Noort	
L.H. van der Tweel	13 mei 1997
Th.J. Hooning	
Tsjou Li-po	
J.H. de Haas-Posthuma	
René Dekkers	22 oktober 1976
Bruce Burton	
Klaas Schipper	
M.J. Broekmeyer	2007
P.A. Kooijman	17 januari 1975
F. Kempers	
K. Kuiper	
Bruno Walschap	1999
Jos Vandeloo	5 oktober 2015
M. Rácz	
H.H. Kirchheiner	
W. van der Marck	
Alex Bolckmans	1990
J. van Santen	
Frank Liedel	28 februari 2012
G.G. Bauman	
Maarten van Dullemen	
Gérard van Kalmthout	
Wouter Kotte	
René Louis Gysen	2 maart 1969
Kazimir Malewitsj	15 mei 1935
Ann Smith	
H. Doedens	1989
A. Schuurman	
S.J. Rutgers	
B.E. Rutgers	
E. Standaert	
H. van Strien	
J. Bok	
Jan Messchert van Vollenhove	15 maart 1814
Albert Verwey	8 maart 1937
Roelof Schuiling	21 juni 1936
Jan Gerrit Talen	28 mei 1942
E. Rijpma	20ste eeuw
Theo Thijssen	23 december 1943
J.H. Swildens	12 september 1809
K. Veenenbos	
Antonie de Vletter	20 december 1967
Ph.J. Simons	
J.J. Woltjer	20 april 2012
J.L. Horsten	4 augustus 1952
Jacob van der Valk	1925
G. Engels	
M.R. Dijkman	
J.A. vor der Hake	11 mei 1951
J. Verboven	
Lodewijk Makeblijde	17 augustus 1630
A.J. de Jong	1961
J. van Boskoop	
Ezechiël Slijper	6 juni 1953
M.A. van Weel	
H.A. Westrate	
Enoch Krook	1732
Gerrit ten Bruggencate Hermz.	6 maart 1853
Joh. Jac. Smith	18 juni 1949
J. Kooistra	1941
E.J. Haslinghuis	1972
F.P.H. Prick van Wely	18 juni 1926
Yvonne Koop	
Aert Schouman	1792
E.J. van Sonsbeek	
R. Wijkman	
C.F. Krijs	28 september 1720
B.M. Noach	
Jos. Schrijnen	26 januari 1938
A. van Herk	
D. Haagman	
A.S. Bijl	
E.G. Courrech Staal	
M.H. van de Ven	
Joannes van der Elst	6 februari 1670
Th. de Jager	
Jac Heeren	19 augustus 1967
S.A. Krijn	
W. Govaart	
F. den Eerzamen	26 april 1968
K. Kooiman	21 september 1969
Karel Lantermans	1945
K. Blokhuis	
J. Hoeksma	4 augustus 1931
P. Koster	
J.J. le Roux	1946
F.A. Stoett	27 april 1936
K.W. de Groot	
Wobbe de Vries	6 februari 1942
G.E. Opstelten	10 februari 1927
R. Kaltofen	
J.M. van der Hoogt	
Abraham Kuyper	8 november 1920
J. van der Baan	31 augustus 1826
Erik Wellander	
P.H. Greiner	1952
D.B. Bosman	7 mei 1960
Elisabeth Jongejan	6 januari 1957
H.H. Knippenberg	17 december 1964
E.C. Pienaar	11 juni 1949
L.P.H. Eykman	28 november 1937
Marten Jan van der Meer	1931
G.A. Brands	1958
K.H. de Raaf	1948
Andries Borgeld	6 april 1929
J.M.G. Evers	
Maria Simon Thomas	22 november 1955
Tj. Sterringa	1949
G. Beumer	
W. van den Ent	1954
Hendrikus Pomes	?
W.L. Bezema	
W. Kraak	
Luc Salu	
L. Koch	
Th.B.F. Hoyer	
L.J.J. Olivier	28 juli 1996
R. Pennink	1985
J. van Rijckevorsel	
J.C. van der Does	1956
A. Kuiper	
A.J. Schneiders	1 juli 1984
J. Hovy	1956
René van Sint-Jan	26 oktober 1970
M. Buisman J. Fzn.	5 april 1986
Jacob Hiegentlich	18 mei 1940
W.G.J.A. Jacob	
G.J. Uitman	
F.C. Driessen	31 januari 1963
F. Jansonius	1989
Dirk Gerhardus Muller	19 april 1866
Marie H. van der Zeyde	1990
Ulfert Schults jr.	
Roelof Schokker	
Lodewijk Maerevoet	1984
Franz Staude	14 juni 1947
Anton Reichling	25 mei 1986
Jan van Dam	30 oktober 1979
H. van Wichert	
C. Wilkeshuis	30 april 1982
A.R. Hol	13 maart 1965
H.A.C. Spoelstra-Spruyt	?
L.A. te Winkel	24 april 1868
Th.H. d' Angremond	
C.L. Thijssen-Schoute	11 februari 1961
M. Mendel	
D.H. Smit	
Annick De Vylder	
Eugène de Bock	22 juli 1981
T. Langeveld-Bakker	
M.H. de Haan	
G.G. Ellerbroek	
M.M. Prinsen	
P.C. Schoonees	31 oktober 1970
H. van de Graaf	
J.H.J. Willems	
Heike Kamerlingh Onnes	21 februari 1926
C.M. de Beaufort	
E.J. Gras	
J.J. Soons	
A.C. de Jong	
A.M. Korpershoek	
C.G.L. Apeldoorn	2008
Mirjam Ernestus	
Paul van der Meulen	15 november 1963
J.A. Wartena	
H. Bovenkerk	
B.H. Kazemier	19 augustus 1983
C.W. Schoonhoven	
J. Karsemeijer	1967
F.G.A. Stemvers	17 mei 1961
Ch.A. Thomas-Bourgeois	
U. Tuinstra	1984
B.H. Peteri	
H.B.A. Bockwinkel	
G.A. Mesters	27 september 1982
Luc. Boreel	23 januari 1854
W.H.N. van Wel	
J.P. Prins	
Helga Van Geertsom	
Johan Moorman	22 september 1743
F.N. Jansen	
P. Stienstra	
J.W.N Delteijk	
Chr. Stapelkamp	31 januari 1961
J.M. Willeumier-Schalij	2001
A.P. Kieft	
D. van Unnik	
H.L. Bezoen	2 augustus 1953
H.J.A. Hissink	
M.J. Jochems	
Judi I.H. Mendels	
G.A. Sybenga	
F.G. Hesmerg	
J.F. Hengeveld	
C.N. Dubelaar	28 oktober 2005
A.M.L. de Meere	
J. Naarding	20 juli 1963
A. van Mourik	
L.H.M. Muris	
Honoratius Sengers	
P. Maximilianus O.F.M. Cap.	28 oktober 1963
C. Kruyskamp	6 april 1990
A.H. Kooyker	
Hendricus Sparnaay	31 maart 1965
A.G.J. Hermans	25 december 1966
A.M.J. van Spaendonck	
Reind J. Elema	
P.A.F. van Veen	december 1996
M.A.F. Ostendorf	
J.W.F.X. de Rijk	23 november 2001
J.H. van Waveren	
D. Holzscherer	
Johannes Steenmeijer	19 juli 1864
Hugo Willem Bosscha	1979
A.E. Meeussen	1978
B.C. Damsteegt	26 oktober 2003
A.H. Kan	1951
J.G. Dijkstra	
A. van Loey	6 maart 1987
M.A. Nauwelaerts	1983
Jan Poortman	13 februari 1984
W.J. Buma	19 oktober 1999
N. de Bresser	
Johan de Brune (de Oude)	7 november 1658
J.H. Kramer	
L.G. Oosten-Marwitz	
A.P. Braakhuis	
Lambartus Stoppendaal Pieters zoon	11 september 1815
G.W. Jansen	
A.G. van der Horst	
J.C. van Holten	
G.Th.M. Verhaak	1993
S.P. Uri	23 februari 1964
H. Vogelsang	
F.H. Jansen	
Aletta Huijsinga	
J. de Kruys	
A.A.M. de Villiers	
F.I.J. van Rensburg	
G. Colmjon	28 december 1884
M.J. van Westenbrugge	
C. Kostelijk	
J.B. Drewes	18 juli 1994
F.J.P. Peeters	2003
B.W.E. Veurman	
A.P. de Bont	19 augustus 1973
M. Zwaagdijk	1954
Hubert J. Michaël	23 februari 1978
C.M. Geerars	25 maart 1976
A.G.F. van Holk	december 2010
F. van Vinckenroye	29 augustus 2005
F. Ketner	
Jan Frans Gratiaen	1788
Bert Japin	9 augustus 1969
A.I.M. van der Waag	
A.P. Cornet	
A.F. Manning	1991
Q.W.J. Daas	
W. van Beusekom	
J. Vergote	1992
John de Pool	1947
R. Haeseryn	13 april 2016
Arnold J.T. Stakenburg	1985
M.A. Kerckhove	
C.J.H. Steketee	
A.W.P. van Ree	
B.M. Salman	
H. Roose	
W.H. Vroom	
D.B. van Nisius	
L. Peeters	26 maart 2016
J.C. Arens	1992
J.A. Verhage	
Theo Vindevogel	
A.G. van Melle	
Jan van Elsland	19 november (begraven) 1736
J. Kwekkeboom	
A.W. Krijgsman	
Jan C. Villerius	1996
H. Weigert	23 maart 1974
W. Gobbers	
Jaap Meijer	9 juli 1993
J. van der Steen	
B. de Ligt	
Peter van Eeten	
L. Koelmans	
Marie van Kranendonk	27 februari 1979
Johannes van der Schaar	29 augustus 1984
B.A. Mensink	
Willem Sluiter	december 1673
J.M.H. Vossen	9 oktober 1973
Theo Oudkerk Pool	
J.F. Couwenbergh	
C. Bruins	
B. Ouwerkerk	
B.G.L. Overmaat	
P.J. Vinken	4 november 2011
Raymond Kaye	
P.J. Merckens	
J. Berits	1999
Gerhard Worgt	1997
T.J.M. Versteeg	
Marcel Hoebeke	1990
Jelle van der Meulen	
J.L. Price	
H.Th. Kok	
H.J.J.M. van der Merwe	1974
A. Mankes-Zernike	6 maart 1972
R. Vos	
Tibor Klaniczay	
H. Schönbeck	
G.C. de Waard	
Paul Delsemme	26 juni 2008
R. Galderoux	
F.K.M. Mars	
Jules de Corte	16 februari 1996
P.E.L. Verkuyl	
J. Hollestelle	29 mei 2001
J. de Ligne van Arenberg	23 mei 1568
F.M. Gelens	
W.P. Gerritsen	
E. Hendrikx	1985
H.M. Hermkens	
A.J. Verschoor	
I.D. du Plessis	11 december 1981
Frank van Gestel	
Norbert Morciniec	
P. Gerbenzon	2 september 2009
Gerhard Kuipers	
Nienke Bakker	13 juli 2011
Hanneke van Buuren	
H.J.J. Piket	
Albert van Hogenbemt	
S.C. Holleman-Stevens	
C. van de Ketterij	
E.F. Wijsman	
A. Roels	
Jakob Zeeus	27 november 1718
A. Jacob-Bekaert	
Dora van Velden	
E. Nuijtens	
Justus de Harduwijn	9 mei 1636
Jacobus Revius	15 november 1658
N.J. Schuurmans	
Michael van de heilige Augustinus	
Henk Hollaar	
Jaap de Rooij	24 augustus 2017
S.A.E. van Puffelen	
F. Revet	
S.A.P.J.H. Iansen	22 juli 2004
Wilco H. thoe Schwartzenberg en Hohenlansberg	4 februari 1704
B.W. Schippers	
Claas W. de Kruyter	24 juli 1981
H. van 't Veld	
C. van Duijn jr.	
H.B. de Groot	
W. Martin	
Abraham Maas	oktober 1804
Ferdinand van Ingen	
Berend Jager	
Willem M. Visser	
Jacques Zajicek	
Adrianus van Selms	30 april 1984
R.C. Engelberts	
Jacques Voisine	
A.M.C. van Schaik-Verlee	
H. Prudon	
Yvette Stoops	1997
G.H. Dijkstra	
R.P. Botha	
P.E.M. Boer	
J. 't Hart	
Epictetus	138
F.J. Koopmans-Van Beinum	
J.P. Willems	
G.J. Helmer	
Paul C.H. van der Goor	22 september 1983
G.C. Lijphart-Bezuidenhout	november 1987
A.N. Paasman	
Wim Hendriks	2 juni 1997
J.D. Reeder	
P.J.F.M. Eligh	26 maart 1997
Piet Delen	
Albert Schaalma	
W.H. Morel-van Mourik	
M.E. van Slooten	
J.B. de Caluwé	
C. Monster	
G.A. van Es	20 januari 1981
G.R.W. Dibbets	
A.J. Welschen	
K. Roelandts	6 februari 2010
