Author	DOD
Carel Vosmaer	14 juni 1888
Geert Berings	
Johannes Margadant	1913
Cd. Busken Huet	1 mei 1886
Simke Heerts Rinkes	9 juli 1865
C.P. Burger	29 mei 1936
Walter Bosch	19de eeuw
Robert Fruin	29 januari 1899
Aart Veder	1862
B.W. Wttewaall van Wickenburgh	18 november 1890
W.C.A. Staring	20 november 1895
A.S. Carpentier Alting	4 augustus 1915
Abraham Seyne Kok	15 januari 1915
P.J.B.C. Robidé van der Aa	10 februari 1887
J. Wttewaall	2 augustus 1862
W. Ruys	5 augustus 1889
Frederik Nagtglas	21 augustus 1902
P.C. Margadant	27 juli 1899
Sijo Kornelius Thoden van Velzen	1900
Hendrik de Veer	11 december 1890
W.J.A. de Witt Huberts	4 juni 1909
Nicolaas Jacob Bernard Kappeyne van de Coppello	27 januari 1882
D.E.W. Wolff	1890
T.T.H. Jorissen	4 april 1889
Mon Steyaert	
W.N. du Rieu	21 december 1896
H.P.G. Quack	6 januari 1917
S.J. Hingst	12 januari 1890
Johan Willem Tydeman	?
Abraham Dirk Loman	17 april 1897
Johannes van Dam	12 juli 1877
Samuël Senior Coronel	25 november 1892
Hippoliet Bauduin	8 januari 1882
Tobias Michael Carel Asser	29 juli 1913
Simon Frederik Groen	mei 1869
F.P.J. Sibmacher Zìjnen	1895
T.J. Halbertsma	18 juli 1894
Steven Blaupot ten Cate	9 september 1884
Johannes Philippus Heukelom	22 februari 1895
W.H. van de Sande Bakhuyzen	1919
Nikolaas Gerard Pierson	24 december 1909
Abraham Willem de Klerck	na 1873
Willem baron van Goltstein	10 september 1901
Julius Christiaan van Deventer	14 mei 1892
Otto van Rees	16 mei 1868
J. Limburg	1940
Eelco Verwijs	28 maart 1880
Firmin van der Poorten	31 augustus 2013
N.J. den Tex	21 mei 1899
L.R. Beynen	14 april 1897
Herman Agatho des Amorie van der Hoeven	13 oktober 1897
Pieter Bleeker	24 januari 1878
J.F.B. Baert	22 mei 1909
J. Beckering Vinckers	19 december 1891
Samuel van Houten	14 oktober 1930
Gerrit Kuyper Hzn	28 december 1879
P.A. Tiele	22 januari 1889
Thomas Kroon JHz.	13 mei 1863
Henri Ernest Moltzer	25 oktober 1895
R.S. Tjaden Modderman	1925
H.A. Wijnne	21 maart 1871
Isaäc Dornseiffen	17 mei 1898
Jan Willem Nicolaas Mosselmans	3 oktober 1863
Tiberius Cornelius Winkler	18 juli 1897
Izaak Jan Blaupot ten Cate	10 mei 1876
Nicolaas Bernhardus Donkersloot	24 februari 1890
Michiel Johannes de Goeje	17 mei 1909
Piet van Os	14 september 1897
Jan Luzac	6 mei 1868
Anthony Ewoud Jan Modderman	7 augustus 1885
H.G. van de Sande Bakhuyzen	1923
Adam Smith	19de eeuw
Jan ten Brink	19 juli 1901
B.J. Stokvis	1902
Joan Karel Hendrik de Roo van Alderwerelt	31 december 1878
Jacob Gijsbert de Hoop Scheffer	31 december 1893
M.H. Jansen	9 september 1893
D. Huizinga	15 mei 1903
B.H.C.K. van der Wijck	1925
Bernard Dominicus Hubertus Tellegen	10 februari 1885
Hendrik Adriaan Antonius van Berckel	11 augustus 1866
Julius de Geyter	18 februari 1905
J.A. van Dijk	10 oktober 1908
Folkertinus Nicolaas Sickenga	15 oktober 1916
H.W. Schroeder van der Kolk	1867?
H. Neubronner van der Tuuk	17 augustus 1894
J.C. de Vries	
Jan Willem Straatman	1882
H.T. Karsten	1925
Jeronimo de Vries	29 april 1915
H.F.R. Hubrecht	1 augustus 1926
W.F.R. Suringar	12 juli 1898
A.J.A. Gerlach	8 juni 1906
A.W.M. van Hasselt	1902
A.E. Croockewit	19 december 1917
Jb. Boeke	19 mei 1908
