Author	POB
Nicolaas Bernhardus Donkersloot	Deventer
Michiel Johannes de Goeje	Dronrijp
Piet van Os	Breede
Jan Luzac	
Anthony Ewoud Jan Modderman	Winschoten
Jan ten Brink	Appingedam
B.J. Stokvis	
Jacob Gijsbert de Hoop Scheffer	Den Haag
M.H. Jansen	Antwerpen
D. Huizinga	Den Burg
B.H.C.K. van der Wijck	Gorinchem
Bernard Dominicus Hubertus Tellegen	Groningen
Hendrik Adriaan Antonius van Berckel	Delft
Julius de Geyter	Lede
J.A. van Dijk	Den Haag
Folkertinus Nicolaas Sickenga	Wolvega
H.W. Schroeder van der Kolk	
H. Neubronner van der Tuuk	
Jan Willem Straatman	Groningen
H.T. Karsten	
Jeronimo de Vries	Amsterdam
H.F.R. Hubrecht	Vlaardingen
W.F.R. Suringar	Leeuwarden
A.J.A. Gerlach	Groningen
A.W.M. van Hasselt	
A.E. Croockewit	Amsterdam
Jb. Boeke	Amsterdam
A. Quak	
H. van der Hoeven	
Cornelis Marinus Francken	Muiden
J.C. de Vries	
Meinardus Siderius Pols	Den Haag
M.T.H. Perelaer	Maastricht
R.P. Mees Azn.	Rotterdam
G.H.J. Elliot Boswel	Amsterdam
W.C.D. Olivier	
Henricus Oort	Eemnes
Joanan Rutgers	
Charles Boissevain	Amsterdam
M.W.C. Gori	Amsterdam
Johan Gram	Den Haag
Willem Johannes Franciscus Nuyens	Avenhorn
Hendrik Hooyer	Zaltbommel
D.J. Mom Visch	
Michaël Wilhelm Scheltema	Amsterdam
Peter van Bosse	Amsterdam
J. l' Ange Huet	Haarlem
W.A. van Rees	Arnhem
Matthijs Salverda	Appingedam
E.J.P. Jorissen	
Gerard Keller	Gouda
François de Casembroot	Luik
W.P. Sautijn Kluit	Amsterdam
Isaac Arnold Lamping	Sprang
H.C. Rogge	Amsterdam
Anton Gillis Cornelis van Duyl	Brielle
M.A.N. Rovers	Franeker
J.J. Cornelissen	Steenwijk
A.L.H. Ising	Heusden
Tobias van Westrheene Wzn	Delft
G.M. Boissevain	Amsterdam
George Lodewijk Kepper	Amsterdam
H.P. van Karnebeek	Amsterdam
H. van Herwerden	Beetsterzwaag
Cornelius Marius Kan	Groningen
J.S.G. Gramberg	Maastricht
C.J.F. Mirandolle	Paramaribo
H.C. van Hall	
T.J. Stieltjes	Leuven
P.J.W. Teding van Berkhout	Olst
Hendrik Pierson	Amsterdam
Peter van Os	
Willem Pieter Wolters	Leiden
Adriaan van Eck	Hontenisse
Sadi de Gorter	
G.A. van Hamel	Haarlem
Cornelis Bellaar Spruyt	Kockengen
P. van Geer	Leiden
Jan Karel baron van Goltstein	Arnhem
Balthazar Heldring	Hemmen
Martinus Leopold	Groningen
M.H. du Croo	Arnhem
Victor de Stuers	Maastricht
Philip Reinhard Hugenholtz	Woudenberg
Willem Arnold Pieter Pistorius	Velp
B. Carsten	Assen
Aart Admiraal	Goedereede
Pieter Marinus Netscher	Rotterdam
Jean Baptist van Hugenpoth tot den Beerenclauw	Boxmeer
Bruno Jz. Tideman	Rotterdam
Johannes Bodel Nijenhuis	Amsterdam
Johan Hermann Christian Heyse	Amsterdam
D. de Loos	Rotterdam
S.M.S. de Ranitz	
A.J.C. Geerts	
Hugo Beyerman	Deventer
H.J. van Ankum	Groningen
Pieter Heering	Enkhuizen
W.A. Verschuer	Den Haag
W.C. Hojel	Soerabaya
W. Heineken	
H.Q. Janssen	Sint Anna ter Muiden
A.C. Loffelt	Utrecht
Jan Willem Gerbrandt van Oordt	Utrecht
Ocko Wicher Star Numan	Groningen
P. de Boer	Holwerd
L.M.J. Glasius	
H. van de Stadt	
M.C.L. Lotsij	
Jacob Dirk Veegens	Den Haag
A.P.C. van Karnebeek	
Jan Hartog	Westzaan
W.K. van Dedem	Heerde
Floris der Kinderen Fzn.	Amsterdam
Joan Frederik van Oordt	Kaapstad
Adriaan Huet	Amsterdam
Barthold Jacob Lintelo de Geer van Jutphaas	Utrecht
Daniël Hartevelt	Brielle
Elise Adelaïde Haighton	Amsterdam
Constantijn	Semarang
J.H.F. Sollewijn Gelpke	Weltevreden
Tijs Terwey	Zaandam
Gerardus Petrus Booms	Maastricht
Pierre Joseph Henry Baudet	Zwolle
C.A. Crommelin	Nieuwer-Amstel
P.J. Cosijn	Rijswijk
A.T. Reitsma	
Taco H. de Beer	Maarsseveen (Maarssen)
J.L. Hoorweg	
Jeronimo de Bosch Kemper	Amsterdam
Annaeus Frederik Eilerts de Haan	Olst
Frederik Christiaan de Brieder	Almelo
Rudolf Cornelis Hendrik Römer	Oudewater
D.W. Rost van Tonningen	
F.V.H.A. de Stuers	Roermond
C.D.H. Schneider	Grave
Willem Bernard Johannes van Eyk	Utrecht
J.C. de Marez Oyens	
Ewaldus Daniël Pijzel	Dordrecht
M. de Ras	Nijmegen
Henrick Witte	Rotterdam
M.C. Piepers	
A. Elink Sterk jr.	Amsterdam
J.A.F.L. van Heeckeren	Zutphen
Pieter de Jong	Nieuwveen
F.H. Boogaard	
Willem Hendrik de Beaufort	Leusden
Willem Degenhardt	Amsterdam
Johan Hendrik Gallée	Vorden
Margaretha Wijnanda Maclaine Pont	Hasselt
Samuel Muller Fzn.	Amsterdam
C.M. Vos	Amsterdam
Petrus Conradi	Oudenhoorn
Johan Drabbe	Bergen op Zoom
W.B.G. Molkenboer	
F.J. Haver Droeze	Vlaardingen
Adrianus Dirk de Vries	Amsterdam
Adrianus Daniel de Vries	Amsterdam
A.C. Vreede	Gorinchem
Henricus Anastasius Viotta	Amsterdam
L.A.J.W. baron Sloet van de Beele	Voorst
Th.W. Engelmann	Leipzig
A.H.G.P. van den Es	Sassenheim
I.D. Franssen van de Putte	Goes
Jacobus Craandijk	Amsterdam
J.J. van Toorenenbergen	Utrecht
J.J. Meinsma	Leeuwarden
Johan baron d' Aulnis de Bourouill	Groningen
J. van Loenen Martinet	Nijmegen
Jacob Léon Wertheim	Amsterdam
Johannes de Koo	Middelie
J. Winkler Prins	Tjallebert
J.G. Frederiks	Duinvliet bij Oostkapelle
R.M. van Goens	Utrecht
Jacob Hendrik Hora Siccama	Utrecht
D.C. Meijer	Amsterdam
V.A. Julius	Utrecht
J. Aleida Nijland	Hoorn
Jacob Adolf Bruno Wiselius	Amsterdam
Anthonie Marius Kollewijn	Gouda
E.O. Houtsma	
