Author	POB
Hans Berghuis	Apeldoorn
Henk de Velde	
Eva van Sonderen	
Willem G. Weststeijn	
P.J. de Voogd	
G. Groenhuis	Utrecht
Hans Ester	Utrecht
Marjan Groenewegen	
A.C. Zijderveld	Malang
Frans Budé	Maastricht
Douwe Draaisma	Nijverdal
Frans Weitenberg	
Peter Zeeman	
Kees Caljé	
Reinold Widemann	
Jaap Goudsmit	
Marijke Rijsberman	
Hans Bertens	
Jaap van der Bent	
Rik Planting	
R. Overeem	
Tonja van Rijthoven	
Jaap van Heerden	
Maarten Steenmeijer	
Jan Houwink	Sneek
Pieter Sijpersma	
Otto van den Muijzenberg	
Nico G. Schulte Nordholt	
R. Menggali	
Elly Touwen-Bouwsma	
Henk Schulte Nordholt	
H.M.J. Maier	
Wil Rouleaux	
Ulrike Weinhold	
Ben de Pater	
Marie-José Heijkant	
Tjalling Bos	
Leander Hanssen	
Raymond Corbey	Susteren
Joris Iven	Diepenbeek
Adriaan M. van der Hoeven	
Vojtech Mastny	
A. Lammers	
Jan Bank	Amsterdam
Herman de Liagre Böhl	
Jan Blokker	Amsterdam
A.C.M. de Kok	
Elsbeth Etty	Hulshorst
Marga Demmers	
Carme Riera	
Bob de Nijs	
Xavier Fàbregas	
Siem Juliard	
Paul van Heck	
Dirk van Bastelaere	Sint-Niklaas
Th. Kuiper-Weijhenke	
Eva Hofman	
P.F.M. Fontaine	Amsterdam
W.L. Stokvis	Vianen
Evert Sweens	
Freddy de Vree	Antwerpen
Gerrit Krol	Groningen
Carl Friedman	Eindhoven
Rolf Wolfswinkel	Amsterdam
Wim Reilingh	
Hub. Hermans	
Jan Lechner	
H.J. 't Hart	
André Spoor	Den Haag
Hans Freudenthal	Luckenwalde
Hans Ree	
S.V. Langeveld	
Jan Tinbergen	Den Haag
Beatrijs Ritsema	Tunis
Louis J. Mostertman	
J.P. de Jong	
Jojada Verrips	Schoonrewoerd
H. Schuttevâer	
L. Lafour	
Gerhard Dünnhaupt	
Jan Kuijper	Amsterdam
C.J.G. Holtzappel	
Hans Ras	Rotterdam
Henk Flinterman	
Johan B.W. Polak	
Rob Sijmons	
Ph.M. Bosscher	Heiloo
Kitty Verrips-Roukens	
M.A. Wes	
Paula Vermeyden	Rotterdam
H.L. Wesseling	Den Haag
H.W. von der Dunk	Bonn
Frank Kuitenbrouwer	Utrecht
Flip de Kam	
Drs. P	Thun
K.L. Poll	Dordrecht
I. Samkalden	
José Rentes de Carvalho	Portugal
G. Leppers	Maastricht
Hans Dorrestijn	Ede
H.A.M. Snelders	
Pieter Lakeman	
G.M. van Asperen	Rotterdam
J.P. Guépin	Amsterdam
Hugh Jans	
Ch. Enschedé	Haarlem
Ellen Ombre	Paramaribo
Gerrit Komrij	Winterswijk
Jan van Hoften	
G.A. Wagner	
Frans Hüsken	Nijmegen
Wilt Idema	
B. de Gaay Fortman	
E.P. Wellenstein	Scheveningen
Jan Juffermans	
Frank Martinus Arion	Curaçao
J.C. Heesterman	
Hans Calis	
Herman Hertzberger	
Berthe Meijer	Amsterdam
A. Komen	
Charlotte Mutsaers	Utrecht
A.M. Hagen	
E. T. Woudstra	
Egil Törnqvist	Uppsala
Dédé Brouwer	
Bart Driessen	
Peter van der Veer	
Herman Tieken	
M.E. 't Hart	
Reinder Boverhuis	
Sanjukta Gupta	
William H. McNeill	Vancouver
Jan Lucassen	
Wout Ultee	
Fréderique van Cleeff-Hiegentlich	
Annemarie Cottaar	
Aart G. Broek	Maasland
Hugo Pos	Paramaribo
Igma van Putte-De Windt	Curaçao
Gregor Benton	
Gèr Boosten	Valkenburg
J. Weisgerber	Brussel
David Minter	
Terrence Doody	
Joris Duytschaever	Antwerpen
Harold Beaver	
Michel Bartosik	Antwerpen
K. Michel	Tilburg
Jan Peter Nauta	
Ton Ceelen	
Bram Kempers	
B.G.J. de Graaff	
J.C.H. Blom	Leiden
Kees Revier	
Han Foppe	Den Haag
Joke Dame	Amsterdam
Flora Stiemer	
H.G. van Bueren	Rotterdam
Thom Holterman	
Joke Huisman	
Marijke Smalbraak	
Edmund Licher	
Paul M. Doolan	Ierland
Jan H. Mysjkin	
Ben van Melick	Hoensbroek
Cok van der Voort	
Dick Molewijk	
B. Zwaal	
Marietta Ioannidou	
Hero Hokwerda	
Jan Klees	
Mario Molegraaf	
Andriëtte M. Stathi-Schoorel	
W.J. Aerts	Amsterdam
Salvador Hertog	Maastricht
Lodewijk Brunt	
Ton Naaijkens	
Jos van Asperen	
Jan Gielkens	
Paul Marijnis	Schiedam
André Brink	
J.H. van Dijk	
Guy Posson	
Elisabeth van Elsen	
Hans Aniba	Den Haag
Ben Sloot	
Hans Moll	
Herman Koningsveld	
Raymond van den Broeck	
Agnes M. Zwaneveld	
René van Hezewijk	
Philip van der Eijk	
Kitty M. van Leuven-Zwart	
Anneke Neijt	
Jenny Tuin	
Jos Perry	Maastricht
G. van Os	
Cees Koster	
B.J. Asscher	Haarlem
Dorie Nielen	
Helen Saelman	
Ines Colijn	
Anne Marie Heemskerk	
Daphne Muller	
Menno Kraan	
Miriam Van hee	Gent
Maarten van Buuren	Maassluis
Remieg Aerts	Amsterdam
Hubert Smeets	
Peter Odell	
Chun-chan Yeh	
Jean-Clarence Lambert	
Peter King	Wimbledon
Marc Galle	Denderleeuw
A.J. Goblet (d'Alviella)	Doornik
Hans Hom	
Sitor Situmorang	Harianboho
Robert P. Swierenga	
Jan Zielonka	
Monika van Paemel	Poesele
Jan Stavinoha	Praag
Ágnes Roboz	
Margret Brügmann	
Stephen Mennell	
Herman Liebaers	Tienen
Geoffrey Douglas Madge	
Monika Triest	Aalst
Ernest Zahn	
Jan Bakker	
Paul J.A. Frische	Roermond
Frans Kusters	Nijmegen
Boeli van Leeuwen	Curaçao
Nicolette Smabers	Den Haag
Jan Versteeg	
Gerrit-Jan Berendse	
Willem Derks	
Salvador Bloemgarten	Schaarbeek
H. Schippers	
H. Schröder	
F.G. von der Dunk	Bilthoven
J. van Tooren	
Ieme van der Poel	
Manet van Montfrans	
Henk Hillenaar	
Ruud Meijer	
Maria van Daalen	Voorburg
Hendr. Gerritsen	Zeeland
E.M. Beekman	Amsterdam
Jack Vance	San Francisco
John Heymans	
Michael O'Loughlin	
Jozef Deleu	Roeselare
Roland Mortier	Gent
Mark Schaevers	
Anne Marie Musschoot	Gent
Paul Claes	Leuven
Georges Adé	Antwerpen
Wim van Rooy	
Michel Oukhow	Ukkel
Herman Sabbe	Brugge
Geert Bekaert	Kortrijk
Nico Frijda	Amsterdam
C. Schmidt	
Evert van Uitert	Amsterdam
Marius Buning sr.	Zwijndrecht
L.K.H. van Beek	
Antoine Bodar	Hertogenbosch
Marja Brouwers	Bergen op Zoom
Louise O. Fresco	Meppel
Jan Kostwinder	Oude Pekela
Ron Elshout	Rotterdam
Kreek Daey Ouwens	Geleen
Mieke Tillema	
Laurens van Schie	
György Spiró	Boedapest
Dorin Tudoran	Roemenië
Jan Fontijn	Amsterdam
Rudi Wester	Leeuwarden
J.J. Oversteegen	Blaricum
Ian Gibson	
Arjen Duinker	Delft
J. Heymans	
Piet de Rooy	
Greetje van den Bergh	Tiel
P.H.J.T. Ververgaert	
Willem de Ruiter	
J.H. Brinks	Almelo
K. Kolthoff	
Henry Schogt	Amsterdam
Kristien Hemmerechts	Brussel
Miel Vanstreels	Godsheide (Hasselt)
Geert Maessen	
Barber van de Pol	
A.D. Leeman	
Theodor Duquesnoy	
Graa Boomsma	Nieuwe Niedorp
M.J. Trappenburg	
Patricia de Martelaere	Zottegem
Guido Eekhaut	Leuven
J.A.A. van Doorn	Maastricht
G.C. Molewijk	
C.J.F. Stuldreher	Oldenzaal
Liesbeth Dolk	Jakarta
Jero Gardenia	Groningen
Helena Spanjaard	
Lucas Reijnders	
Koos van Weringh	
Selma Leydesdorff	
Adriaan Venema	Heiloo
Oscar van Weerdenburg	
Wouter Gomperts	
Henk te Velde	
Frank Albers	
Rouke van der Hoek	Eindhoven
Joachim von der Thüsen	
J.W. Onderdelinden	
Paul van der Heijde	
Maarten Doorman	Meppel
Eelco Runia	
Job Creyghton	Terwinselen
Antoine A.R. de Kom	Den Haag
Riet de Jong-Goossens	
Karin van Lierop	
C.P. Bakker	
Joris Pintor	
Georgine Sanders	Padang
Jacq Firmin Vogelaar	Tilburg
Marc Schreurs	
Jan Timman	
H.H. Kubbinga	
Mark van Andel	
Lieneke Frerichs	
Mary G. Kemperink	
Anton van Wilderode	Moerbeke-Waas
Umberto Eco	
J. Mannoury	Wormerveer
Maarten van der Wee	
Niek Muller	
Ineke van Kessel	
A.L. Schneiders	Castricum
Car Flanders	Zottegem
Wina Born	Sliedrecht
Jan Mulder	Bellingwolde
G.L. van Lennep	
Yvonne Kroonenberg	Amsterdam
Cisca Dresselhuys	Leeuwarden
Ch.J. Enschedé	Amsterdam
Harry G.M. Prick	Roermond
Huib van Krimpen	
Gerardjan Rijnders	
Max van Rooy	
Hans Maarten van den Brink	Oegstgeest
Ben Bos	
Gerard de Vries	Leeuwarden
Walter van den Broeck	Olen
S.F. Baekers	Leiden
Agnes Verbiest	
Alex van Schooten	
Gie van den Berghe	Gent
Michiel Mastenbroek	
Th.M. Scholten	
Henk Harbers	
Jeroen Boomgaard	Breda
Andries Sarlemijn	
Michiel van Kempen	Oirschot
Guido van Heulendonk	Eeklo
Jeroen J.H. Dekker	
Jan Brands	
Joël Cahen	
Ernst van Alphen	
Ria van den Brandt	
Stephan Sanders	Haarlem
Hugo Verdaasdonk	Amsterdam
Christa Schuenke	
Thomas Rosenlöcher	Dresden
Christine Delhaye	
Rudi Laermans	
Geert van Beek	Gennep
Koen Dille	
Rik Lina	
Saskia Poldervaart	
Jan Bervoets	
Andries Querido	
W.S. Huberts	Utrecht
Lambert Lambertz	
Richard Todd	
Bert Wartena	
Kamiel Vanhole	Etterbeek
Marc Adang	
Tjebbe van Tijen	
Jean A. Schalekamp	Rotterdam
M.J.P.M. Weijtens	Eindhoven
Olga Krijtová	Hradec Králové
Zofia Klimaszewska	
René A. Römer	Willemstad
C.E. Dip	
Luc Alofs	
Alex Reinders	Schaesberg
Gladys do Rego-Kuster	Curaçao
Carel de Haseth	Curaçao
Jules de Palm	Curaçao
Henry Habibe	Aruba
Walter J.M. Palm	Curaçao
Elis Juliana	
Lasana M. Sekou	
Wim Rutgers	Dinxperlo
Jos de Roo	Bad Liebenzell
Frans Heiligers	
Robert A. Rojer	
Felix de Rooy	
Michael A. Newton	Curaçao
Roel J. den Dulk	
Emma Crébolder	Sint Jansteen
Yvonne Né	
Marc Groenhuijsen	
Leo Morpurgo	Paramaribo
Theo Para	
Peter Meel	
Nardo Aluman	
Frans Malajuwara	
Ruud Beeldsnijder	Amsterdam
Celestine Raalte	
Carlo Hoop	
Dorus Vrede	Lombe
André Pakosie	Diitabiki
Surianto	Plantage Johannesburg
G.D. van Wengen	Haarlem
Joanna Werners	
Jit Narain	Livorno
Theo Damsteegt	Rotterdam
Chitra Gajadin	Suriname
Astrid Roemer	Paramaribo
Cándani	Suriname
Henna Goudzand	
Marcel Bénabou	
Gemma Pappot	
Piet Meeuse	
Jan van der Waals	
Maurice van Lieshout	
J.J.M. Bakker	Sloten
Lucy Kooman	
Peter van Ham	
Jack van der Weide	
Marc Kregting	Breda
Joy Arpots	
D. Frenkel	
J.W. Nobel	
Boris Todoroff	
Max Niematz	
Fleur Thomése	
Frans van Zetten	
Kees Hensen	
Fransje Klaver	
Elrud Ibsch	
Em. Kummer	Amsterdam
J. Neubauer	
Carel Peeters	Nijmegen
Maaike Meijer	Eindhoven
Jolande Withuis	
M. Weisglas	Den Haag
Klaas Koetje	
Michael Tophoff	Bremen
Conny Kristel	Amsterdam
Maarten Asscher	Alkmaar
Willem Schoonen	
J. Breman	Amsterdam
Ann Laura Stoler	
H.W.J. Drijvers	Winschoten
M. Stol	
Heather Sutherland	Australië
Maria Bosch	Amsterdam
Doris Edel	Zürich
Dorelies Kraakman	
Annet Mooij	
Kees van Hage	
Vincent Hunink	
R.Th. van der Paardt	
Piet Gerbrandy	Den Haag
Mieke Koenen	
Reinold Vugs	
Marja Loomans	
A. Bergsma	
Anita Wijzenbroek-Zoethout	
Sara van Epenhuysen	
P. Hijmans	
Cornelia Wilhelmina Bosch	
A. Agnes Sneller	
Odile Heynders	
Helenius Munt	
Irene de Jong	
C.M.J. Sicking	
D.M. Schenkeveld	Alkmaar
Fred Spier	
Marcel Kurpershoek	Den Haag
Julia Quak-Stoilova	Sofia
Frederike van der Leek	
Ed van der Elsken	Amsterdam
Herman Kaal	
Freek de Jonge	Westernieland
Mark Smeets	
Carla Rijkenberg	
Cees van der Pluijm	Radio Kootwijk
Ida Vos	Groningen
Karl Edersheimer	Rheinland Westfalen
Peter Buijs	
Barbara den Uyl	
Nelleke Noordervliet	Rotterdam
Helen Wilcox	
Ben van der Velden	Rotterdam
Wim Denslagen	
Joes Segal	
Gerard van Emmerik	Apeldoorn
H.C. Hemker	Amsterdam
Caroline van Eck	Katwijk
H. Bauer	Mayen
Repke Hollema	
Walter van der Kooi	
Philip Mechanicus	Amsterdam
C.W. van de Watering	
Peter Bergsma	Bergen
Léon Hanssen	Kerkrade
Casper Hakfoort	
P. Clausing	
Peter Drehmanns	Roermond
Nan van Houte	
Janny Donker	
Robert Steijn	
Ger Thijs	Rimburg
Karst Woudstra	
Tonie van Marle	
Marcel Möring	Enschede
Hana Bobková	Praag
Paul Binnerts	Den Haag
L. Frank	
Marianne van Kerkhoven	
Cas Enklaar	Den Helder
Ton Lutz	
Lien Heyting	
Marijn van der Jagt	
Loek Zonneveld	Heemskerk
Tom Blokdijk	
Otto Valkman	
Ritsaert ten Cate	Almelo
Hedy d' Ancona	Den Haag
Erik Slagter	
Siem Bakker	Oude Niedorp
Karol Lesman	Breda
Jan Blonski	Warschau
Jan van der Meer	
Goenawan Mohamad	Batang, Midden-Java
Herman de Kat	
Ton Hoenselaars	
Joep Leerssen	Leiden
Hans Goedkoop	
Jelle Koopmans	
Karin Tilmans	
Helen Gerretsen	
Niels Helsloot	
Tom van As	Den Haag
Ludo Abicht	Oostende
Madeleine van Strien-Chardonneau	
Margarete van Ackeren	
Dick Dooijes	Amsterdam
Otto Treumann	Fürth
Gerrit Noordzij	Rotterdam
Pieter Brattinga	Hilversum
Cees van Dijk	Goudswaard
Ad ten Bosch	Zutphen
Wim Crouwel	Groningen
Gerard Unger	Arnhem
Kurt Löb	Berlijn
Ger Kleis	
Paul Hefting	Eelde
Christoph Noordzij	
Melle Broeksma	
Peter Mertens	
Swip Stolk	
Frank Blokland	Leiden
Gitte Postel	
Margreet Schrevel	
Paul Beers	Den Haag
Sjaak Commandeur	
Frans van Dooren	Ravenstein
Marijke Emeis	Rotterdam
M. D'Hane-Scheltema	
Jeanne Holierhoek	
Frida Vogels	Soest
Kees Mercks	
Cora Polet	
Jean Pierre Rawie	Scheveningen
Mariolein Sabarte Belacortu	
P.H. Schrijvers	
Rien Verhoef	
Frans van Woerden	
Hans Vandevoorde	Zwevezele
Caroline Meijer	
Hans Henkemans	Den Haag
Ton Lemaire	
Marc Reugebrink	Goor
K.-J. Citron	
Micha Hilgers	
Kathinka Dittrich van Weringh	
Henri Beunders	Emmeloord
Erhard Blankenburg	Duisburg
Michael Hamburger	Berlijn
José F.A. Oliver	Hausach (Zwarte Woud)
Carla Bogaards	Voorburg
Bodo Kirchhoff	
Wolfgang Hilbig	
Ruurd Bakker	
Hubert van den Berg	Amsterdam
Peter Abelsen	
Frans Geraedts	
Edwin Krijgsman	
Lies Wesseling	
Tijn Boon	
Tijl Huygen	
J.C. Hess	
Dewijch Griffioen	
Herman Leenders	Brugge
Per Hojholt	
Annelies van Hees	
Barbara Noske	
Tomas Vanheste	
Jacques Arends	Gendt
Nanda van den Berg	Den Helder
Benjamin Biebuyck	Roeselare
Chris Keulemans	Tunis
Catherine Barel	
Fernando Venâncio	Portugal
Sophia de Mello Breyner Andresen	
Arie Pos	
Luís de Sousa Rebelo	Lissabon
Mário-Henrique Leiria	
Harrie Lemmens	Altweerterheide
Emile Schra	
Peter Brook	
Jan Ritsma	
Emanuel Overbeeke	
Frank Kouwenhoven	
Oswin Schneeweisz	
Benno Premsela	
Roeland Gerritsen	
Willy Coolsaet	Moorsele
Eva van Schaik	
David Vaughan	
Hans Snoek	
Kees Hogenbirk	
Ben Knapen	
Margriet de Moor	Noordwijk
Mark Richartz	
J. van Heetvelde	Enghien
Jean-Pierre Plooij	
Guy Widdershoven	
Wim Tigges	
Xandra Schutte	
Peter Verhelst	Brugge
Joris Verheijen	
Ed Leeflang	Amsterdam
Dago Steenis	
Peter Nijssen	
Frank vande Veire	
Atte Jongstra	Terwispel
Mario Gommeren	
Jan Hein Furnée	Leiderdorp
Carine Meulders	
Frans Kingma	
Kees Bruin	
Jorge Esquinca	Mexico-stad
Alexander Koesjner	
Annegret Böttner	
Dino Campana	Italië
Onno Kosters	Baarn
Weldon Kees	Beatrice, Nebraska
Simon Armitage	Marsden
Yves Bonnefoy	
John Ashbery	Rochester
Peter Handke	
Philippe Jaccottet	Moudon
Anne Duden	Oldenburg
Michael Donhauser	Vaduz
Michael Ondaatje	
Hans Kloos	
Bruno K. Öijer	
Franz Baermann Steiner	
Jacques Roubaud	
Olga Sedakova	
Ulrich Meister	Schaffhausen
Ad Beenackers	Bavel
Maarten van Delden	
Mario Vargas Llosa	
Juan José Arreola	
Juan Carlos Onetti	
Horacio Quiroga	
J.L.J. van Schoot	
Arnold Heumakers	
Dirk van Delft	
Johan Reyniers	
Hugo Dittberner	Duitsland
Esther Jansma	Amsterdam
Etienne van Heerden	Johannesburg
Gottfried Benn	Mansfeld
Roland Jaccard	
H.J. Houte	
Slavoj Zizek	Ljubljana
Thomas Elsaesser	Berlijn
Marc de Kesel	
Predrag Dojcinovic	Servië
Margreet Schouwenaar	Schagen
Geert Lernout	
Lucy Grealy	
Herman Cohen	Den Haag
Joh. R. Vlek	
Herman Philipse	
Anton Ent	Rotterdam
R.B. Kitaj	
Dorinde van Oort	
Dirk van Weelden	Zeist
Clarín	
Doeschka Meijsing	Eindhoven
Phillip Herring	
Günter Grass	
Jan Hontscharenko	
Paul Bogaert	Brussel
William Carlos Williams	
Chris Honingh	
Wieke Bonnier	
Eltjo Muntinga	
Marie de Meister	
René J. van Boven	
Jan Lampo	Antwerpen
Joris Denoo	Torhout
Frank Verkuijl	
Martien Kappers	
Johan de Boose	Gent
Else Lasker-Schüler	
H.C. Halberstadt-Freud	
Joke J. Hermsen	Middenmeer
Lut Missinne	Veurne
Thomas Leeflang	
Karen Vintges	
Christa Stevens	
Antoine Verbij	Boskoop
Winnie Sorgdrager	
G.M. Hopkins	Stratford
W. Bronzwaer	Heerlen
Rudy Bremer	Amsterdam
Saint-John Perse	Frankrijk
Claude van de Berge	Assenede
Monica Soeting	
Philippe Sollers	
Leonard Beuger	
Hans Achterhuis	Hengelo
Mark Boog	Utrecht
Peter Swanborn	
Graciliano Ramos	Brazilië
Gerard Nienhuis	
André Schmitz	Erneuville
Josef Winkler	Oostenrijk
Seamus Heaney	County Derry (Noord-Ierland)
Jan Eijkelboom	Slikkerveer
Bora Cosic	
Mattijs van de Port	
Ariejan Korteweg	
Zoran Djukanovic	
Rüdiger Safranski	Duitsland
Joost Niemöller	Haarlem
Thomas Rosenboom	Doetinchem
Magnus Hisrschfeld	Duitsland
Edouard Roditi	Verenigde Staten
Dieter Hülsmanns	Düsseldorf
Erik Zürcher	Utrecht
Maghiel van Crevel	
Chuan Xi	
Peter Buwalda	Brussel
O. Hammerstein	
Martijn van Calmthout	Eindhoven
Ole Bouman	
Menno Tamminga	
Jos de Wit	
Hein Groen	
Jan Heemstra	
Marc Schoorl	
Herman Koch	
Leon Gommers	Heerlen
Russell Artus	Tilburg
Peter Theunynck	Eeklo
Erik Menkveld	Eindhoven
Arjen Mulder	
Eric de Kuyper	Brussel
Wim Hottentot	
Peter Verstraten	
Basha Faber	Amsterdam
Klaus Theweleit	Duitsland
Manon Uphoff	Utrecht
Gert Hekma	
Leo Steinberg	Moskou
Yukio Mishima	
Jantine Oldersma	
Wislawa Szymborska	
Felicitas Hoppe	
C.F. van Beusekom	
Sven Danner	Amsterdam
Sjaak Koenis	
Kees 't Hart	Den Haag
Pam Emmerik	Amerongen
Joke van Leeuwen	Den Haag
Hedda Martens	
Charles Simic	
William T. Vollmann	
Wallace Stevens	
Nicolaas Matsier	Krommenie
Oek de Jong	Breda
Alain Robbe-Grillet	
Bart Verschaffel	
Karl Krolow	Hannover
Herman de Coninck	Mechelen
Yra van Dijk	
Goffe Jensma	
Koen Koch	Amsterdam
Rinus Ferdinandusse	Goes
Roelof Haveman	
Jan Willem Duyvendak	Markelo
L. Laeyendecker	
Yves van Kempen	Roermond
Joyce Outshoorn	
Wouter Vanstiphout	
Harry Oosterhuis	
Chris Rutenfrans	
Tom Schalken	
Pamela Koevoets	Vlissingen
Rob Schouten	Hilversum
W.H. Auden	York
Frank Reijnders	
Ciaran Carson	Belfast
Frits Abrahams	Nijmegen
Ed van Thijn	Amsterdam
Maria Stahlie	Arnhem
John Jansen van Galen	
Mirjam Schöttelndreier	
Thijs Wöltgens	Kerkrade
Ido de Haan	
Stella Braam	Haarlem
Irene Costera Meijer	Groningen
Jos de Putter	
Arnon Grunberg	Amsterdam
Helga Ruebsamen	Batavia
Michael Frijda	Amsterdam
Kees Bokweide	
Marjoleine de Vos	Oosterbeek
Chris Lorenz	
Jos van der Lans	
Jeroen Onstenk	
Kees Vreugdenhil	
Charles Reznikoff	
Jules Laforgue	
Matsuo Basho	
Gregor Laschen	
Lennart Sjögren	
Theodore Roethke	
Ernst Jandl	
Adolf Wölfli	
Joannes Six van Chandelier	Amsterdam
Martin Reints	Amsterdam
Johannes Bobrowski	Tilsit
Ted Hughes	Mytholmroyd
Caroline Lamarche	
Bibiana Mikkelsen	
Stine Jensen	
Hein-Anton van der Heijden	
Godert Posthumus	
Bart Moeyaert	Brugge
Tayeb Mokeddem	Algerije
Pierre Michon	
David Foster Wallace	Verenigde Staten
Göran Tunström	
Marcel Beyer	
Durs Grünbein	Dresden
Sasbout Beukelsz. v.d. Burch	
P.C. Verveen	
Mirna Velcic-Canivez	
Armand van Assche	Aartselaar
Bob Baljet	Haarlem
K. van Berkel	Amstelveen
Marijke Besselink	
Fred Dijs	
Otto Egberts	Vlaardingen
Roelof van Gelder	
Tijs Goldschmidt	Amsterdam
Harm Habing	
Hubert-Jan Henket	
Wim Hofman	Oostkapelle
Frederike Huygen	
Aad Kosto	Oegstgeest
Reinier Lucassen	
Fred Pelt	
Marieke Sanders-ten Holte	
Gary Schwartz	New York
B. Sliggers	
Jan Tromp	
R.P.W. Visser	
Bart Vos	
J.H. van der Waals	
Aryeh Lev Stollman	
Babet Mossel	
Matthé Sjamaar	
Huib Schwab	
Raj Kamal Jha	
Jelle Noorman	
Gijs van Oenen	
Koedooder & Heilig	20ste eeuw
Derek Walcott	Castries
Jacob ter Veldhuis	
Hans Onno van den Berg	2019
Gustav Herling	Kielce
Peter-Paul Verbeek	NA december 1970
Petran Kockelkoren	20ste eeuw
René Puthaar	
Erwin Mortier	Nevele
Martin Bril	Utrecht
Simon Frith	20ste eeuw
Pieter Cramer	20ste eeuw
Wouter Klootwijk	Rhenen
Ivan Nio	
Arjan Witte	Utrecht
Ko Kooman	20ste eeuw
Maarten Elzinga	
Peter Holvoet-Hanssen	Deurne
Miguel Declercq	Oostende
Paul Valéry	
Max Beckmann	Leipzig
Thomas Vaessens	Maastricht
José van Dijck	20ste eeuw
Brady Udall	20ste eeuw
Bert Meelker	20ste eeuw
Guus Middag	Haaksbergen
Robert Gernhardt	Duitsland
Gerrie Bruil	20ste eeuw
Joost Zwagerman	Alkmaar
Anton van de Wardt	
Jonathan Treitel	Groot-Brittannië (en Noord-Ierland)
Paul Alberdingk Thijm	Amsterdam
Jan Lodewijk Mercelis	Wechelderzande
Hilda Ram	Antwerpen
Hector Claeys	Oedelem (Beernem)
Hendrik Persyn	
Gustaaf Verriest sr.	Deerlijk
Hugo Verriest	Deerlijk
Henri Donders	
Eug. de Lepeleer	
A.M.J.I. Binnewiertz	
Alfons Jozef Maria Janssens	Sint-Niklaas
Delfien Vanhaute	Ardooie
Omer Karel de Laey	Hooglede
A.W. Sanders van Loo	
H.J.A.M. Schaepman	Tubbergen
Jozef Jacobs	
Prosper van Langendonck	Brussel
Jacob Lenaerts	
Aloïs Walgrave	Gent
Hendrik de Marez	Ronse
Jef Hinderdael	Gent
Pieter Danco	Antwerpen
C. van Ongeval	
Frans Drijvers	Rotselaar
Paolo Gentili	
Edward van Even	Leuven
Lambrecht Lambrechts	Hoeselt
Peter Jozef Tijsmans	Hoevenen
Adriaen Lourisz Lepel	
Desideer Claes	Neerlinter
A.G. Welvaar	
A. Weemaes	
Edward de Grijse	Roeselare
H. Sermon	Sint-Pieters-Leeuw
van der Veur	
Lambert Jageneau	
Caesar Gezelle	Brugge
John Lancaster Spalding	
Ch. Lucas	
Florimond Heuvelmans	Antwerpen
de Ticheleer	
Leo Goemans	Leuven
Adolf de Ceuleneer	Dendermonde
Mimosa	
August Victor Bultijnck	Knesselare
P.C. de Bruyne-Klinkenberg	
Melati van Java	Soerabaja
Martin Brants	Stokkem
Ed. Loos	
Jan Kornelis de Cock	Vierhuizen
Johannes Romboldus van der Lans	Den Haag
Arthur Wenthworth Powell	
Jan Craeynest	Oostrozebeke
A. Habets	
H. van Houtte	Waregem
G.H. Haastert	
Adolf Rutten	19de eeuw
Alphonse Naert	Brugge
Jan Stuyt	19de eeuw
Eugène Isebaert	19de eeuw
Alfons Mervillie	Wontergem
Eugeen Leën	Hasselt
P.L. van den Heuvel	19de eeuw
Jaak Boonen	
A. Prayon-van Zuylen	Gent
Simonart	19de eeuw
P. Rutten	19de eeuw
Constant Eeckels	Antwerpen
Henri W.J. Schouten	19de eeuw
H. de Vocht	
C. Callewaert	Deerlijk
Lodewijk De Wolf	Brugge
I. Vandegaer	
F. Palmen	19de eeuw
Herman Linnebank	
O. Cornet	19de eeuw
Hubert van Fall-Mheer	19de eeuw
H. Hosdey	Boezinge
Gustaaf Segers	Hoogstraten
Frans van Cauwelaert	Onze-Lieve-Vrouwe-Lombeek
Jean-Baptiste de Bethune	Brugge
D. Staroger	19de eeuw
A. Bertang	
Em. van Cappel	Brugge
A. van Eigenleven	19de eeuw
J.W. van Heeswijk	19de eeuw
Simon Staf	19de eeuw
Lodewijk Ontrop	Antwerpen
Alfons de Cock	Herdersem
Alfons Fierens	
Jozef de Voght	Broechem
J.A. van Lieshout	
L. Scharpé	Tielt
J. Lievens	
X. Smits	19de eeuw
J. Kautzen	19de eeuw
Jozef Muls	Antwerpen
D.A. Stracke	Antwerpen
H. Gabriëls	19de eeuw
F.P. Lorreins	
Eug. vander Heyden	
Lodewijk Vincent Scheltjens	Brussel
J. Jacobsen	
E. Vliebergh	
Emiel Hullebroeck	Gent
C. Clerckx	
E. van Fraechem	
J. Verest	
Alfons Siffer	Zomergem
Tom Bruce	
Leo van Nerum	
Dirk van Minden	
A. Carnoy	Leuven
Cl. Buvé	
I. de Vreese	
Omer Wattez	Schorisse
Albrecht Rodenbach	Roeselare
R. Maere	
W.W. Druenlanders	
Karel Elebaers	Antwerpen
Z. Peeters	
E.J. Mertens	
Alfons Moortgat	Opdorp
Thomas Ryetius	Mechelen
P. Henneckes	
Th. van Tichelen	Stabroek
Jan Franssen	
P.J. Stinissen	Peer
Titus Brandsma	Oegeklooster (bij Bolsward)
Stephanie Vetter	
Fr. Ludovicus Blomme	
D.A. Dyland	
R. Lemaire	
A.M. van Kersbeek	
L. Noël	
Floris Prims	Antwerpen
Em. Broes	
Gabriël Verborght	
A. Taelman	
B. van Kesteren	
